File: abc_unknown_cases/bobsmvhd3.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -r -i -n -c -t -k"
PDR Parameters: -r -i -n -c -t -k
Parameter Set: 7 of 32
Started at: Tue 17 Jun 2025 12:18:51 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -r -i -n -c -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 595                                                               2   572 304      0.37 sec
 26 : ... 251 138 149 148 152 170 91 62 81 65 67 53 65 110 418 3397       0  1111   0     36.71 sec
 27 : ... 138 149 148 152 170 91 62 81 65 67 53 66 112 431 786 2693       9  1111   0     37.17 sec
 28 : ... 149 148 152 170 91 62 81 65 66 53 65 75 188 571 717 2715       30  1111   0     38.65 sec
 29 : ... 149 148 152 170 97 71 88 74 72 59 75 83 59 106 378 608 3117    23  1111   0     40.16 sec
 30 : ... 144 151 168 94 63 84 66 67 54 63 75 57 58 59 121 390 3431       0  1111   0     40.77 sec
 31 : ... 151 168 94 63 84 66 67 54 63 75 57 58 60 122 391 630 2809       5  1111   0     41.04 sec
 32 : ... 168 94 63 84 66 67 62 70 87 83 82 93 162 338 634 603 2757      26  1111   0     43.99 sec
 33 : ... 94 64 91 62 52 45 67 75 57 63 55 132 192 238 435 541 3036      39  1111   0     46.37 sec
 34 : ... 94 64 80 62 43 38 50 60 41 50 45 47 47 36 49 58 250 3927        0  1111   0     46.93 sec
 35 : ... 71 85 68 49 45 59 66 43 52 48 49 51 40 52 63 253 555 3381      25  1111   0     47.73 sec
 36 : ... 83 63 47 41 53 62 43 52 53 59 62 55 67 63 141 476 735 2965     21  1111   0     48.93 sec
 37 : ... 63 47 41 53 62 43 52 50 47 52 40 56 55 123 309 543 636 2911    10  1111   0     50.24 sec
 38 : ... 51 62 77 53 60 56 51 56 52 72 61 132 247 244 313 551 3032      35  1111   0     51.90 sec
 39 : ... 40 48 47 42 45 46 50 61 42 50 51 73 101 56 129 287 745 3146    20  1111   0     52.94 sec
 40 : ... 48 47 42 45 39 45 51 39 48 48 68 92 49 61 73 282 648 3192       7  1111   0     53.50 sec
 41 : ... 47 42 45 39 45 51 39 48 48 68 92 49 61 57 125 566 510 3085     22  1111   0     54.41 sec
 42 : ... 42 45 39 45 51 39 48 48 68 92 49 61 57 37 107 260 799 3027      7  1111   0     54.99 sec
 43 : ... 52 42 49 56 44 52 52 71 98 52 66 59 38 69 73 341 718 3081      37  1111   0     56.41 sec
 44 : ... 37 44 49 38 49 48 68 90 45 61 53 38 68 60 165 546 762 2718      8  1111   0     57.40 sec
 45 : ... 48 53 45 55 54 80 99 58 68 63 43 70 70 129 279 539 581 2968    46  1111   0     60.29 sec
 46 : ... 117 121 142 101 108 111 100 117 122 94 84 92 303 704 3344     106  1111   0     76.31 sec
 47 : ... 46 56 48 62 85 50 58 47 36 71 54 49 37 69 126 313 235 3841      8  1111   0     77.76 sec
 48 : ... 56 48 62 85 50 58 47 36 71 54 49 37 69 55 40 117 345 3876       0  1111   0     78.10 sec
 49 : ... 113 105 101 125 108 104 101 146 128 128 197 440 878 3281       94  1111   0     93.89 sec
 50 : ... 192 168 211 192 205 190 216 185 176 167 341 781 755 3343      104  1111   0    123.18 sec
 51 : ... 114 109 89 72 94 92 108 69 95 76 59 96 150 268 508 605 4054     8  1111   0    125.94 sec
 52 : ... 85 111 109 132 92 124 111 99 143 204 329 425 688 999 3592      80  1111   0    132.45 sec
 53 : ... 96 54 62 60 78 95 54 62 63 50 81 54 80 60 65 155 589 4845       0  1111   0    134.26 sec
 54 : ... 54 62 60 78 95 54 62 63 50 81 54 80 60 65 159 599 547 4448     26  1111   0    135.26 sec
 55 : ... 62 60 78 95 54 62 63 50 81 54 80 60 65 74 69 195 840 4438       0  1111   0    135.86 sec
 56 : ... 125 89 92 95 83 112 87 115 93 99 114 119 247 896 988 3634     133  1111   0    156.59 sec
 57 : ... 157 138 161 131 127 142 142 160 126 182 451 933 825 4186      120  1111   0    182.91 sec
 58 : ... 101 72 75 74 72 82 49 59 69 75 42 68 51 64 65 102 557 5747      0  1111   0    186.21 sec
 59 : ... 213 191 211 209 220 193 219 209 230 225 268 751 832 5415      117  1111   0    232.39 sec
 60 : ... 66 61 55 64 68 63 65 46 34 65 47 33 32 48 36 205 722 6043       0  1111   0    237.09 sec
 61 : ... 61 55 64 68 63 65 46 34 65 47 35 34 49 36 215 740 710 5454     14  1111   0    238.39 sec
 62 : ... 55 64 68 63 65 46 34 65 47 33 33 48 36 50 57 119 396 6353       0  1111   0    239.30 sec
 63 : ... 74 76 69 73 60 48 85 65 46 44 57 42 61 62 125 402 996 5509     82  1111   0    244.73 sec
 64 : ... 65 61 65 45 40 63 48 34 29 44 36 51 54 50 63 341 795 5825       8  1111   0    247.85 sec
 65 : ... 151 136 114 115 128 126 131 139 127 129 222 789 900 5608      131  1111   0    292.90 sec
 66 : ... 44 60 42 48 58 58 33 27 48 59 46 50 50 43 122 161 212 7274      5  1111   0    298.02 sec
 67 : ... 60 42 48 58 58 33 27 48 59 46 50 50 43 70 47 135 672 6836       0  1111   0    298.93 sec
 68 : ... 42 48 58 59 35 28 48 59 46 51 51 46 72 50 140 684 500 6451     71  1111   0    301.73 sec
 69 : ... 46 52 60 28 27 47 58 44 48 47 36 61 53 45 73 150 164 7266       0  1111   0    303.97 sec
 70 : ... 52 60 28 27 47 58 44 48 47 36 61 53 45 73 150 164 607 6659      0  1111   0    304.71 sec
 71 : ... 28 27 47 58 44 48 47 36 61 53 45 73 153 172 619 1040 5711      15  1111   0    305.78 sec
 72 : ... 28 27 47 58 44 48 47 36 60 53 45 73 133 85 144 720 894 5805    19  1111   0    307.41 sec
 73 : ... 27 47 58 44 48 47 36 60 53 45 73 133 85 62 85 341 707 6249      5  1111   0    308.46 sec
 74 : ... 69 55 62 62 53 75 67 56 86 143 101 85 104 171 645 1103 5611   131  1111   0    317.55 sec
 75 : ... 52 46 47 47 30 50 45 48 65 142 78 56 72 67 66 189 892 6257      0  1111   0    320.50 sec
 76 : ... 46 47 47 30 50 45 48 65 142 78 56 72 68 71 205 915 795 5614    16  1111   0    321.86 sec
 77 : ... 47 47 30 50 45 48 65 142 78 56 72 57 55 59 110 358 896 6048     8  1111   0    323.09 sec
 78 : ... 57 44 69 62 63 82 158 89 68 80 69 64 69 54 74 404 572 6370     89  1111   0    328.92 sec
 79 : ... 31 54 45 48 67 147 80 68 76 68 68 74 67 63 93 405 944 6176    117  1111   0    341.30 sec
 80 : ... 35 31 55 44 136 77 51 59 61 56 46 35 39 51 144 688 537 6360    13  1111   0    344.07 sec
 81 : ... 31 55 44 136 77 51 59 61 56 46 35 39 51 29 30 30 106 7401       0  1111   0    344.97 sec
 82 : ... 55 44 136 77 51 59 61 56 46 35 39 51 29 30 30 106 421 6973      0  1111   0    345.72 sec
 83 : ... 201 197 206 177 161 161 156 155 154 157 240 556 1042 6172     165  1111   0    398.32 sec
 84 : ... 110 107 104 119 118 98 106 101 84 92 93 92 200 748 651 6905   151  1111   0    433.22 sec
 85 : ... 13 69 30 36 19 24 28 21 26 32 33 27 16 15 14 19 18 12 7174      0  1111   0    440.51 sec
 86 : ... 69 30 36 19 24 28 21 26 32 33 27 16 15 14 19 18 12 149 7003     0  1111   0    441.18 sec
 87 : ... 36 19 24 28 21 26 32 33 27 16 15 14 19 18 12 149 614 6381       0  1111   0    441.87 sec
 88 : ... 24 31 33 27 32 38 39 38 22 25 25 29 25 21 160 620 483 6008    112  1111   0    444.24 sec
 89 : ... 16 11 3 21 8 4 13 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 7070      0  1111   0    446.40 sec
 90 : ... 11 3 21 8 4 13 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 7038       0  1111   0    447.03 sec
 91 : ... 11 3 21 8 4 13 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 7022     0  1111   0    447.65 sec
 92 : ... 3 21 8 4 13 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6973      0  1111   0    448.26 sec
 93 : ... 21 8 4 13 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 6956      0  1111   0    448.87 sec
 94 : ... 8 4 13 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 6953       0  1111   0    449.49 sec
 95 : ... 8 4 13 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 6946     0  1111   0    450.10 sec
 96 : ... 13 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 6923      0  1111   0    450.70 sec
 97 : ... 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 6914       0  1111   0    451.31 sec
 98 : ... 19 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 6907     0  1111   0    451.89 sec
 99 : ... 8 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 6892     0  1111   0    452.49 sec
100 : ... 1 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 6887     0  1111   0    453.08 sec
101 : ... 19 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 6885     0  1111   0    453.68 sec
102 : ... 1 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 6884      0  1111   0    454.27 sec
103 : ... 2 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 6880      0  1111   0    454.86 sec
104 : ... 10 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 14 6864     0  1111   0    455.47 sec
105 : ... 22 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 14 5 6857      0  1111   0    456.08 sec
106 : ... 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 14 5 1 6854       0  1111   0    456.65 sec
107 : ... 11 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 14 5 1 7 6847     0  1111   0    457.23 sec
108 : ... 2 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 14 5 1 7 1 6846      0  1111   0    457.82 sec
109 : ... 18 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 14 5 1 7 1 1 6844      0  1111   0    458.40 sec
110 : ... 4 5 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 14 5 1 7 1 1 54 6789      0  1111   0    458.99 sec
111 : ... 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 14 5 1 7 1 1 54 269 6520      0  1111   0    459.60 sec
112 : ... 4 5 1 6 3 7 21 9 2 12 5 1 2 5 15 6 4 10 3 4 58 273 458 6125    14  1111   0    460.57 sec
113 : ... 1 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 6841     0  1111   0    461.25 sec
114 : ... 6 4 5 1 6 3 7 21 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 6840     0  1111   0    461.84 sec
115 : ... 4 5 1 6 3 7 21 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 6834     0  1111   0    462.41 sec
116 : ... 5 1 6 3 7 21 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 6832     0  1111   0    462.99 sec
117 : ... 1 6 3 7 21 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 1 6831     0  1111   0    463.56 sec
118 : ... 3 7 21 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 1 53 6778      0  1111   0    464.15 sec
119 : ... 21 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 1 53 265 6513      0  1111   0    464.76 sec
120 : ... 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 1 54 266 455 6115     6  1111   0    465.51 sec
121 : ... 21 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 1 1 2 2 1 6829     0  1111   0    466.17 sec
122 : ... 9 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 1 1 2 2 1 2 6827      0  1111   0    466.74 sec
123 : ... 2 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 1 1 2 2 1 2 2 6825      0  1111   0    467.32 sec
124 : ... 12 5 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 1 1 2 2 1 2 2 52 6773     0  1111   0    467.90 sec
125 : ... 1 1 4 11 4 1 7 1 1 1 3 9 5 1 5 2 1 1 2 2 1 2 2 52 263 6510      0  1111   0    468.51 sec
126 : ... 13 8 6 10 6 6 6 9 13 8 4 8 5 6 5 5 4 5 5 3 54 264 450 6117    138  1111   0    473.41 sec
127 : ... 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6342      0  1111   0    476.09 sec
Invariant F[61] : 6342 clauses with 1111 flops (out of 1111) (cex = 516, ave = 25.75)
Verification of invariant with 6342 clauses was successful.  Time =     0.19 sec
Block = 4284  Oblig = 68849  Clause = 59689  Call =2862974 (sat=53.5%)  Cex = 516  Start =9467
SAT solving =   354.47 sec ( 74.42 %)
  unsat     =    63.12 sec ( 13.25 %)
  sat       =   291.35 sec ( 61.17 %)
Generalize  =   302.48 sec ( 63.51 %)
Push clause =   110.13 sec ( 23.12 %)
Ternary sim =    20.27 sec (  4.26 %)
Containment =    29.01 sec (  6.09 %)
CNF compute =    18.55 sec (  3.89 %)
Refinement  =     0.00 sec (  0.00 %)
TOTAL       =   476.30 sec (100.00 %)
Property proved.  Time =   476.41 sec
----------------------------------------
STATUS: COMPLETED
Finished at: Tue 17 Jun 2025 12:26:48 AM CST
========================================
