File: abc_unknown_cases/bobsmvhd3.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -n -c -t"
PDR Parameters: -n -c -t
Parameter Set: 5 of 32
Started at: Tue 17 Jun 2025 12:18:02 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -n -c -t".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 591                                                               2   578 304      0.62 sec
107 : ... 27 26 39 28 10 17 30 26 10 10 11 7 22 28 11 10 16 88 8396      73  1111   0    924.02 sec
108 : ... 26 72 20 14 33 20 4 3 25 22 8 4 9 4 22 22 7 7 8 61 398 8041     0  1111   0    925.97 sec
109 : ... 30 20 13 35 33 18 12 21 14 33 35 16 15 18 69 408 433 7696     144  1111   0    934.39 sec
110 : ... 4 24 80 19 6 22 17 6 2 21 16 5 2 8 3 17 21 10 4 8 2 9 8281      0  1111   0    937.98 sec
111 : ... 24 80 19 6 22 17 6 2 21 16 5 2 8 3 17 21 10 4 8 2 9 11 8257     0  1111   0    939.63 sec
112 : ... 80 19 6 22 17 6 2 21 16 5 2 8 3 17 21 10 4 8 2 9 11 9 8243      0  1111   0    941.23 sec
113 : ... 19 6 22 17 6 2 21 16 5 2 8 3 17 21 10 4 8 2 9 14 12 51 8194     6  1111   0    942.92 sec
114 : ... 19 6 22 17 6 2 21 16 5 2 8 3 17 21 10 4 8 2 9 12 7 5 9 8230     0  1111   0    944.51 sec
115 : ... 22 17 6 2 21 16 5 2 8 3 17 21 10 4 8 2 9 12 7 6 11 144 8091     3  1111   0    946.18 sec
116 : ... 17 6 2 21 16 5 2 8 3 17 21 10 4 8 2 9 12 6 3 5 99 804 7323      0  1111   0    947.86 sec
117 : ... 10 9 19 10 22 26 15 6 10 6 14 14 10 11 12 106 812 720 6715    132  1111   0    955.38 sec
118 : ... 9 4 1 2 3 1 2 2 2 1 3 1 1 1 3 3 2 1 2 2 2 1 3 4 3 7 50 6874     5  1111   0    959.28 sec
119 : ... 4 1 2 3 1 2 2 2 1 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 3 6881      0  1111   0    960.43 sec
120 : ... 1 2 3 1 2 2 2 1 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 3 2 6865      0  1111   0    961.53 sec
121 : ... 2 3 1 2 2 2 1 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 3 2 5 6855      0  1111   0    962.61 sec
122 : ... 3 1 2 2 2 1 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 3 2 7 49 6812     6  1111   0    963.75 sec
123 : ... 1 2 2 2 1 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 2 2 2 2 1 6855      0  1111   0    964.83 sec
124 : ... 2 2 2 1 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 2 2 2 2 1 1 6852      0  1111   0    965.89 sec
125 : ... 2 2 1 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 2 2 2 2 1 1 1 6850      0  1111   0    966.98 sec
126 : ... 2 1 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 2 2 2 2 1 1 1 5 6845      0  1111   0    968.06 sec
127 : ... 1 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 2 2 2 2 1 1 2 6 50 6802     4  1111   0    969.21 sec
128 : ... 3 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 2 2 2 2 1 1 2 1 2 1 6847      0  1111   0    970.29 sec
129 : ... 1 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 2 2 2 2 1 1 2 1 2 1 1 6844      0  1111   0    971.36 sec
130 : ... 1 1 3 3 2 1 2 2 2 1 3 1 3 2 2 2 2 2 2 1 1 2 1 2 1 1 5 6839      0  1111   0    972.43 sec
131 : ... 15 14 19 5 10 8 10 9 10 14 15 12 10 5 7 7 10 8 11 53 6803     146  1111   0    976.73 sec
132 : ... 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6949      0  1111   0    978.34 sec
Invariant F[36] : 6949 clauses with 1111 flops (out of 1111) (cex = 532, ave = 26.49)
Verification of invariant with 6949 clauses was successful.  Time =     0.20 sec
Block = 4364  Oblig =104910  Clause =100592  Call =4840340 (sat=61.1%)  Cex = 532  Start =16054
SAT solving =   747.03 sec ( 76.34 %)
  unsat     =   128.39 sec ( 13.12 %)
  sat       =   618.64 sec ( 63.22 %)
Generalize  =   529.03 sec ( 54.06 %)
Push clause =   324.05 sec ( 33.12 %)
Ternary sim =    35.74 sec (  3.65 %)
Containment =    61.25 sec (  6.26 %)
CNF compute =    41.74 sec (  4.27 %)
Refinement  =     0.62 sec (  0.06 %)
TOTAL       =   978.55 sec (100.00 %)
Property proved.  Time =   978.67 sec
----------------------------------------
STATUS: COMPLETED
Finished at: Tue 17 Jun 2025 12:34:21 AM CST
========================================
