case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,multi_mic_vs_baseline_ratio,multi_mic_vs_dynamic_ratio
pdtvisns3p14,0.01,0.0,0.01,0.03,0.0,0.0,0.01,0.01,0.0,0.01,0.0,1.0,0.0,0.0,0.33333333333333337,,,inf,inf,0.0,0.0,1.0,,inf
oski1rub07i,0.19,1.67,1.71,3.53,1.67,2.76,1.73,1.7,1.66,1.51,8.789473684210526,9.0,0.9766081871345029,0.4730878186968839,0.48441926345609065,1.0,0.605072463768116,1.0239520958083832,0.6195652173913044,0.9653179190751445,0.9823529411764705,1.0058823529411764,1.0060240963855422,1.0301204819277108
bobtutt,0.08,0.54,0.52,0.79,0.54,0.23,0.52,0.55,0.5,0.57,6.75,6.5,1.0384615384615385,0.6835443037974683,0.6582278481012658,1.0,2.347826086956522,0.9629629629629629,2.260869565217391,1.0384615384615385,0.9818181818181818,0.9454545454545454,1.08,1.04
atxfifo-p48,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.02,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180000.0,180000.0
oski2ub1i,3600.0,437.16,454.39,704.94,608.06,186.45,625.83,602.1,358.86,715.83,0.12143333333333334,0.12621944444444444,0.9620810317128459,0.6201378840752404,0.6445796805401878,0.7189422096503636,2.344650040225262,0.7472782291221262,2.437060874229016,0.6985283543454293,0.7260587942202292,0.7546753031057963,1.2181909379702391,1.2662040907317615
qspiflash_qflexpress_divfive-p080,0.0,0.2,0.2,0.21,0.19,0.17,0.26,0.2,0.05,0.37,inf,inf,1.0,0.9523809523809524,0.9523809523809524,1.0526315789473684,1.1764705882352942,1.0526315789473684,1.1764705882352942,0.7692307692307693,1.0,1.0,4.0,4.0
pdtvisbakery2,0.01,0.12,0.1,0.16,0.13,2.65,0.15,0.13,0.01,0.17,12.0,10.0,1.2,0.75,0.625,0.923076923076923,0.045283018867924525,0.7692307692307693,0.03773584905660378,0.8,0.923076923076923,0.7692307692307693,12.0,10.0
picorv32_mutAY_nomem-p6,3600.0,3600.0,2124.17,3600.0,3600.0,3600.0,3600.0,3600.0,0.24,924.19,1.0,0.5900472222222223,1.6947796080351383,1.0,0.5900472222222223,1.0,1.0,0.5900472222222223,0.5900472222222223,1.0,1.0,0.5900472222222223,15000.0,8850.708333333334
qspiflash_dualflexpress_divthree-p159,0.0,0.12,0.12,0.16,0.12,0.1,0.13,0.13,0.03,0.22,inf,inf,1.0,0.75,0.75,1.0,1.2,1.0,1.2,0.923076923076923,0.923076923076923,0.923076923076923,4.0,4.0
intel025,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.66,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2168.674698795181,2168.674698795181
fastfir-p092,0.04,0.67,0.67,0.98,0.68,0.82,0.57,0.73,0.55,0.93,16.75,16.75,1.0,0.6836734693877552,0.6836734693877552,0.9852941176470588,0.8170731707317074,0.9852941176470588,0.8170731707317074,1.1754385964912282,0.9178082191780823,0.9178082191780823,1.2181818181818183,1.2181818181818183
6s4,3600.0,3600.0,3127.78,3600.0,3600.0,3600.0,3600.0,3600.0,0.02,2601.78,1.0,0.8688277777777779,1.1509760916688514,1.0,0.8688277777777779,1.0,1.0,0.8688277777777779,0.8688277777777779,1.0,1.0,0.8688277777777779,180000.0,156389.0
qspiflash_qflexpress_divfive-p128,0.0,2.95,2.93,2.88,2.55,1.3,2.49,2.68,1.88,2.07,inf,inf,1.006825938566553,1.0243055555555556,1.0173611111111112,1.1568627450980393,2.269230769230769,1.1490196078431374,2.253846153846154,1.1847389558232932,1.1007462686567164,1.0932835820895523,1.569148936170213,1.5585106382978726
6s119,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.91,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3956.043956043956,3956.043956043956
cal125,0.09,6.31,6.32,6.96,6.58,5.1,8.49,6.24,2.0,4.96,70.11111111111111,70.22222222222223,0.9984177215189872,0.9066091954022988,0.9080459770114943,0.958966565349544,1.2372549019607844,0.9604863221884499,1.2392156862745098,0.7432273262661955,1.0112179487179487,1.0128205128205128,3.155,3.16
buggy_ridecore,3600.0,3600.0,2086.23,3600.0,3600.0,3600.0,3600.0,3600.0,55.17,3600.0,1.0,0.5795083333333333,1.7256007247523044,1.0,0.5795083333333333,1.0,1.0,0.5795083333333333,0.5795083333333333,1.0,1.0,0.5795083333333333,65.25285481239804,37.81457313757477
qspiflash_dualflexpress_divfive-p091,0.0,3.47,3.61,3.7,3.76,3.84,3.93,3.77,0.03,35.18,inf,inf,0.961218836565097,0.9378378378378378,0.9756756756756756,0.922872340425532,0.9036458333333334,0.9601063829787234,0.9401041666666666,0.8829516539440204,0.9204244031830239,0.9575596816976127,115.66666666666667,120.33333333333333
qspiflash_dualflexpress_divfive-p079,0.0,0.06,0.06,0.08,0.09,0.16,0.06,0.09,0.05,0.07,inf,inf,1.0,0.75,0.75,0.6666666666666666,0.375,0.6666666666666666,0.375,1.0,0.6666666666666666,0.6666666666666666,1.2,1.2
zipcpu-busdelay-p47,0.0,0.18,0.18,0.22,0.19,0.23,0.18,0.19,0.01,0.14,inf,inf,1.0,0.8181818181818181,0.8181818181818181,0.9473684210526315,0.7826086956521738,0.9473684210526315,0.7826086956521738,1.0,0.9473684210526315,0.9473684210526315,18.0,18.0
qspiflash_dualflexpress_divthree-p112,0.0,0.14,0.13,0.21,0.2,0.23,0.13,0.19,0.03,0.26,inf,inf,1.076923076923077,0.6666666666666667,0.6190476190476191,0.7000000000000001,0.6086956521739131,0.65,0.5652173913043478,1.076923076923077,0.736842105263158,0.6842105263157895,4.666666666666667,4.333333333333334
qspiflash_qflexpress_divfive-p107,0.01,2.53,2.91,2.67,2.12,1.78,1.41,1.52,0.4,1.98,252.99999999999997,291.0,0.8694158075601374,0.947565543071161,1.0898876404494382,1.1933962264150941,1.4213483146067414,1.3726415094339623,1.6348314606741574,1.7943262411347518,1.664473684210526,1.9144736842105263,6.324999999999999,7.275
bjrb07amba2andenv,0.0,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,inf,inf,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.0,3.0
picorv32_mutBX_nomem-p3,3600.0,3600.0,914.57,3600.0,3600.0,3600.0,3600.0,1581.19,0.21,609.79,1.0,0.25404722222222226,3.9362760641612997,1.0,0.25404722222222226,1.0,1.0,0.25404722222222226,0.25404722222222226,1.0,2.2767662330270237,0.5784061371498681,17142.857142857145,4355.0952380952385
pdtswvsam6x8p3,0.01,0.4,0.4,0.45,0.37,167.3,0.35,0.37,0.01,0.56,40.0,40.0,1.0,0.888888888888889,0.888888888888889,1.0810810810810811,0.002390914524805738,1.0810810810810811,0.002390914524805738,1.142857142857143,1.0810810810810811,1.0810810810810811,40.0,40.0
qspiflash_dualflexpress_divfive-p070,3600.0,15.94,11.01,29.61,16.17,16.22,18.71,18.55,3.6,47.11,0.004427777777777778,0.0030583333333333335,1.4477747502270664,0.5383316447146235,0.3718338399189463,0.9857761286332714,0.9827373612823674,0.680890538033395,0.6787916152897657,0.8519508284339925,0.859299191374663,0.5935309973045821,4.427777777777777,3.058333333333333
cal118,0.05,7.36,5.19,7.62,5.85,4.06,6.59,5.16,0.91,4.88,147.2,103.8,1.418111753371869,0.9658792650918635,0.6811023622047244,1.2581196581196583,1.8128078817733992,0.8871794871794872,1.2783251231527095,1.1168437025796663,1.426356589147287,1.005813953488372,8.087912087912088,5.7032967032967035
bob12s08,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,35.98,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.05558643690941,100.05558643690941
fastfir-p081,0.29,2.2,2.23,2.5,2.38,2.2,2.48,2.7,2.1,6.98,7.586206896551725,7.689655172413794,0.9865470852017938,0.8800000000000001,0.892,0.9243697478991598,1.0,0.9369747899159664,1.0136363636363634,0.8870967741935485,0.8148148148148149,0.8259259259259258,1.0476190476190477,1.061904761904762
fastfir-p084,0.29,5.22,6.49,6.62,6.67,9.61,7.22,7.76,0.34,10.01,18.0,22.379310344827587,0.8043143297380585,0.7885196374622356,0.9803625377643505,0.7826086956521738,0.5431841831425598,0.9730134932533734,0.6753381893860563,0.7229916897506925,0.672680412371134,0.836340206185567,15.352941176470587,19.088235294117645
bobpci215,0.21,5.03,4.74,5.3,5.32,1.44,5.32,5.06,3.95,2.18,23.952380952380956,22.571428571428573,1.0611814345991561,0.949056603773585,0.8943396226415095,0.9454887218045113,3.493055555555556,0.8909774436090225,3.291666666666667,0.9454887218045113,0.9940711462450594,0.9367588932806326,1.2734177215189872,1.2
pdtviseisenberg1,0.01,0.05,0.04,0.06,0.04,0.21,0.05,0.04,0.0,0.07,5.0,4.0,1.25,0.8333333333333334,0.6666666666666667,1.25,0.2380952380952381,1.0,0.1904761904761905,1.0,1.25,1.0,inf,inf
qspiflash_qflexpress_divfive-p029,0.0,0.15,0.15,0.09,0.14,0.08,0.12,0.14,0.01,0.11,inf,inf,1.0,1.6666666666666667,1.6666666666666667,1.0714285714285714,1.875,1.0714285714285714,1.875,1.25,1.0714285714285714,1.0714285714285714,15.0,15.0
6s202b00,0.45,599.35,154.87,96.45,217.42,15.15,29.31,204.9,23.58,70.38,1331.888888888889,344.15555555555557,3.870020016788274,6.21410057024365,1.6057024364955936,2.7566461227118024,39.56105610561056,0.7123079753472542,10.222442244224423,20.44865233708632,2.925085407515861,0.7558321132259639,25.41772688719254,6.567854113655641
beemkrebs4b1,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.05,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72000.0,72000.0
picorv32-check-p12,0.04,0.2,0.21,0.36,0.23,0.08,0.23,0.25,0.12,0.19,5.0,5.25,0.9523809523809524,0.5555555555555556,0.5833333333333334,0.8695652173913043,2.5,0.9130434782608695,2.625,0.8695652173913043,0.8,0.84,1.6666666666666667,1.75
pdtvisns3p16,0.01,0.0,0.01,0.03,0.0,0.0,0.01,0.01,0.0,0.01,0.0,1.0,0.0,0.0,0.33333333333333337,,,inf,inf,0.0,0.0,1.0,,inf
139464p5,0.46,1.7,1.88,1.89,1.64,21.11,1.68,1.76,1.68,1.47,3.695652173913043,4.08695652173913,0.9042553191489362,0.8994708994708995,0.9947089947089947,1.0365853658536586,0.08053055423969682,1.146341463414634,0.08905731880625296,1.0119047619047619,0.9659090909090908,1.0681818181818181,1.0119047619047619,1.119047619047619
picorv32_mutBY_nomem-p1,3600.0,3600.0,1146.02,3600.0,3600.0,3600.0,3600.0,659.66,1.6,510.88,1.0,0.3183388888888889,3.1413064344426798,1.0,0.3183388888888889,1.0,1.0,0.3183388888888889,0.3183388888888889,1.0,5.457356820180093,1.7372889064063306,2250.0,716.2624999999999
power2sum256,0.0,0.22,0.22,0.24,0.36,0.14,0.34,0.4,0.01,0.38,inf,inf,1.0,0.9166666666666667,0.9166666666666667,0.6111111111111112,1.5714285714285714,0.6111111111111112,1.5714285714285714,0.6470588235294117,0.5499999999999999,0.5499999999999999,22.0,22.0
6s307rb09,0.03,0.43,0.44,0.84,0.46,0.36,0.47,0.44,0.24,0.5,14.333333333333334,14.666666666666668,0.9772727272727273,0.5119047619047619,0.5238095238095238,0.9347826086956521,1.1944444444444444,0.9565217391304347,1.2222222222222223,0.9148936170212766,0.9772727272727273,1.0,1.7916666666666667,1.8333333333333335
pdtswvqis8x8p2,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.01,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360000.0,360000.0
fastfir-p051,0.13,2.61,3.17,3.03,2.61,5.25,4.57,2.87,0.29,11.48,20.076923076923077,24.384615384615383,0.8233438485804416,0.8613861386138614,1.0462046204620463,1.0,0.4971428571428571,1.21455938697318,0.6038095238095238,0.5711159737417942,0.9094076655052264,1.1045296167247387,9.0,10.931034482758621
qspiflash_dualflexpress_divfive-p128,0.01,0.06,0.06,0.1,0.18,0.08,0.2,0.2,0.05,0.12,6.0,6.0,1.0,0.6,0.6,0.3333333333333333,0.75,0.3333333333333333,0.75,0.3,0.3,0.3,1.2,1.2
oski1rub00,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,4.45,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,808.9887640449438,808.9887640449438
eijks1423,3600.0,7.59,14.36,8.13,3.96,2.13,6.65,7.99,9.69,5.23,0.002108333333333333,0.003988888888888889,0.5285515320334262,0.9335793357933578,1.7662976629766296,1.9166666666666667,3.563380281690141,3.6262626262626263,6.741784037558686,1.1413533834586465,0.9499374217772215,1.797246558197747,0.7832817337461301,1.4819401444788443
oski1rub01i,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,330.69,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.886328585684478,10.886328585684478
bobsmminiuart,0.0,1624.48,1637.5,1189.58,829.17,1785.45,1983.37,825.39,0.01,951.7,inf,inf,0.992048854961832,1.365591217068209,1.3765362564938888,1.959163983260369,0.909843456831611,1.974866432697758,0.9171357360889412,0.8190504041101762,1.968136274973043,1.983910636184107,162448.0,163750.0
pdtswvqis10x6p1,0.01,1.04,0.88,1.42,0.56,7.08,0.89,0.56,0.01,1.01,104.0,88.0,1.1818181818181819,0.7323943661971831,0.619718309859155,1.857142857142857,0.14689265536723164,1.5714285714285714,0.12429378531073446,1.1685393258426966,1.857142857142857,1.5714285714285714,104.0,88.0
vgasim_imgfifo-p058,0.01,0.07,0.07,0.17,0.07,0.02,0.13,0.08,0.06,0.72,7.000000000000001,7.000000000000001,1.0,0.411764705882353,0.411764705882353,1.0,3.5000000000000004,1.0,3.5000000000000004,0.5384615384615385,0.8750000000000001,0.8750000000000001,1.1666666666666667,1.1666666666666667
dme3p1neg,0.0,0.01,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.02,inf,inf,0.5,0.33333333333333337,0.6666666666666667,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,2.0
qspiflash_dualflexpress_divthree-p113,0.01,2.64,3.23,3.99,7.29,5.46,3.92,7.46,2.46,6.22,264.0,323.0,0.8173374613003096,0.6616541353383458,0.8095238095238094,0.36213991769547327,0.4835164835164835,0.4430727023319616,0.5915750915750916,0.6734693877551021,0.353887399463807,0.43297587131367293,1.0731707317073171,1.3130081300813008
oc8051gm06iram,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1901.34,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8934014957871816,1.8934014957871816
qspiflash_qflexpress_divfive-p063,0.0,3.8,3.92,3.47,6.12,2.59,3.36,5.96,0.04,3.35,inf,inf,0.9693877551020408,1.095100864553314,1.1296829971181555,0.6209150326797386,1.4671814671814671,0.6405228758169934,1.5135135135135136,1.130952380952381,0.6375838926174496,0.6577181208053691,95.0,98.0
qspiflash_qflexpress_divfive-p005,0.0,1.18,1.17,1.84,2.3,0.17,1.4,2.27,0.46,1.0,inf,inf,1.0085470085470085,0.6413043478260869,0.6358695652173912,0.5130434782608696,6.941176470588235,0.5086956521739131,6.88235294117647,0.8428571428571429,0.5198237885462554,0.5154185022026432,2.5652173913043477,2.543478260869565
oc8051gmc5addr,3600.0,516.53,652.0,651.47,638.97,3600.0,282.73,612.22,1.51,3600.0,0.14348055555555556,0.1811111111111111,0.7922239263803681,0.7928684359985877,1.0008135447526363,0.808379110130366,0.14348055555555556,1.0203921936867144,0.1811111111111111,1.8269373607328545,0.8436999771324033,1.0649766423834568,342.0728476821192,431.7880794701987
marlann_compute_cp_fail2-p0,0.01,0.11,0.1,0.16,0.12,0.03,0.1,0.1,0.05,0.1,11.0,10.0,1.0999999999999999,0.6875,0.625,0.9166666666666667,3.666666666666667,0.8333333333333334,3.3333333333333335,1.0999999999999999,1.0999999999999999,1.0,2.1999999999999997,2.0
beempgsol4f1,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.01,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360000.0,360000.0
qspiflash_dualflexpress_divthree-p153,3600.0,26.24,50.63,18.17,20.19,24.19,29.92,18.39,10.66,9.98,0.007288888888888888,0.01406388888888889,0.5182698005135294,1.4441386901485964,2.7864611997798567,1.2996532937097571,1.0847457627118642,2.507677067855374,2.0930136420008267,0.8770053475935828,1.4268624252311037,2.753126699293094,2.4615384615384612,4.74953095684803
6s202b41,3600.0,100.04,3600.0,49.14,3600.0,3600.0,106.69,99.36,23.03,58.04,0.02778888888888889,1.0,0.02778888888888889,2.035816035816036,73.26007326007326,0.02778888888888889,0.02778888888888889,1.0,1.0,0.9376698847127192,1.0068438003220612,36.231884057971016,4.343899261832393,156.31784628745115
fastfir-p040,0.16,0.6,0.61,1.03,0.61,0.05,0.6,0.68,0.6,0.18,3.75,3.8125,0.9836065573770492,0.5825242718446602,0.5922330097087378,0.9836065573770492,11.999999999999998,1.0,12.2,1.0,0.8823529411764705,0.8970588235294117,1.0,1.0166666666666666
picorv32-check-p20,0.03,0.2,0.2,0.34,0.18,0.04,0.18,0.17,0.09,0.2,6.666666666666667,6.666666666666667,1.0,0.5882352941176471,0.5882352941176471,1.1111111111111112,5.0,1.1111111111111112,5.0,1.1111111111111112,1.1764705882352942,1.1764705882352942,2.2222222222222223,2.2222222222222223
6s51,0.02,59.11,10.18,8.5,12.45,3600.0,102.75,18.6,8.29,9.27,2955.5,509.0,5.806483300589391,6.9541176470588235,1.1976470588235293,4.747791164658635,0.016419444444444445,0.8176706827309237,0.0028277777777777776,0.5752798053527981,3.1779569892473116,0.5473118279569892,7.130277442702051,1.2279855247285887
picorv32-check-p22,0.03,0.21,0.2,0.31,0.22,0.08,0.21,0.2,0.06,0.21,7.0,6.666666666666667,1.0499999999999998,0.6774193548387096,0.6451612903225807,0.9545454545454545,2.625,0.9090909090909092,2.5,1.0,1.0499999999999998,1.0,3.5,3.3333333333333335
cal111,18.16,155.92,240.9,149.48,120.45,118.06,130.05,234.45,162.57,142.09,8.58590308370044,13.265418502202643,0.6472395184723951,1.043082686647043,1.6115868343591118,1.2944790369447903,1.3206843977638487,2.0,2.040487887514823,1.1989234909650133,0.6650458519940285,1.0275111964171466,0.9590945438887863,1.4818232146152428
6s275rb253,0.01,0.2,0.18,0.45,0.18,0.06,0.17,0.18,0.16,0.2,20.0,18.0,1.1111111111111112,0.4444444444444445,0.39999999999999997,1.1111111111111112,3.3333333333333335,1.0,3.0,1.1764705882352942,1.1111111111111112,1.0,1.25,1.125
fastfir-p112,0.26,0.71,0.73,0.96,0.73,0.07,0.71,0.76,0.7,0.32,2.7307692307692304,2.8076923076923075,0.9726027397260274,0.7395833333333334,0.7604166666666666,0.9726027397260274,10.14285714285714,1.0,10.428571428571427,1.0,0.9342105263157894,0.9605263157894737,1.0142857142857142,1.042857142857143
imgfifo-p114,0.01,0.45,0.39,0.43,0.35,0.14,0.35,0.5,0.08,0.13,45.0,39.0,1.1538461538461537,1.0465116279069768,0.9069767441860466,1.2857142857142858,3.214285714285714,1.1142857142857143,2.7857142857142856,1.2857142857142858,0.9,0.78,5.625,4.875
6s54,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.14,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25714.28571428571,25714.28571428571
6s407rb296,3600.0,187.97,1190.92,1588.21,3600.0,2.78,835.07,497.91,1007.94,164.46,0.052213888888888886,0.3308111111111111,0.1578359587545763,0.11835336636842735,0.7498504605814093,0.052213888888888886,67.61510791366906,0.3308111111111111,428.38848920863313,0.22509490222376566,0.37751802534594603,2.3918378823482156,0.18648927515526717,1.1815385836458518
6s389b02,0.0,0.05,0.06,0.27,0.06,0.06,0.06,0.05,0.05,0.09,inf,inf,0.8333333333333334,0.18518518518518517,0.2222222222222222,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.2,1.0,1.2
6s171,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,48.44,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.31874483897606,74.31874483897606
bj08amba2g3f3,0.0,0.03,0.03,0.05,0.03,0.08,0.03,0.03,0.0,0.04,inf,inf,1.0,0.6,0.6,1.0,0.375,1.0,0.375,1.0,1.0,1.0,inf,inf
fastfir-p002,0.06,6.52,6.82,6.72,6.58,8.57,6.55,6.91,0.35,12.42,108.66666666666666,113.66666666666667,0.9560117302052785,0.9702380952380952,1.0148809523809526,0.9908814589665653,0.7607934655775962,1.0364741641337387,0.7957992998833139,0.9954198473282443,0.94356005788712,0.9869753979739508,18.62857142857143,19.485714285714288
cmudme1,3600.0,90.44,83.4,140.99,26.96,267.12,117.7,182.72,0.01,8.23,0.025122222222222223,0.02316666666666667,1.0844124700239808,0.6414639336123129,0.5915313142776083,3.3545994065281897,0.3385744234800838,3.093471810089021,0.31221922731356694,0.76839422259983,0.49496497373029774,0.4564360770577934,9044.0,8340.0
qspiflash_dualflexpress_divthree-p085,0.01,0.17,0.17,0.25,0.23,0.12,0.23,0.23,0.15,0.19,17.0,17.0,1.0,0.68,0.68,0.7391304347826088,1.4166666666666667,0.7391304347826088,1.4166666666666667,0.7391304347826088,0.7391304347826088,0.7391304347826088,1.1333333333333335,1.1333333333333335
nusmvtcasp1,0.01,0.34,0.41,0.19,0.33,47.73,0.41,0.37,0.06,0.77,34.0,41.0,0.8292682926829269,1.7894736842105263,2.1578947368421053,1.0303030303030303,0.007123402472239682,1.2424242424242422,0.008589985334171381,0.8292682926829269,0.918918918918919,1.1081081081081081,5.666666666666667,6.833333333333333
fastfir-p115,0.09,6.69,7.47,8.5,7.81,9.82,8.44,9.32,0.51,51.1,74.33333333333334,83.0,0.8955823293172691,0.7870588235294118,0.8788235294117647,0.856594110115237,0.6812627291242362,0.9564660691421255,0.7606924643584521,0.7926540284360191,0.7178111587982833,0.8015021459227467,13.11764705882353,14.647058823529411
bj08amba4g82,0.01,0.06,0.07,0.15,0.06,0.02,0.06,0.06,0.06,0.07,6.0,7.000000000000001,0.857142857142857,0.4,0.46666666666666673,1.0,3.0,1.1666666666666667,3.5000000000000004,1.0,1.0,1.1666666666666667,1.0,1.1666666666666667
6s306rb23,0.04,0.32,0.37,0.76,0.32,0.29,0.33,0.32,0.32,0.29,8.0,9.25,0.8648648648648649,0.42105263157894735,0.4868421052631579,1.0,1.1034482758620692,1.15625,1.2758620689655173,0.9696969696969697,1.0,1.15625,1.0,1.15625
pdtvisvsar01,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,inf,0.0,0.0,0.5,,,inf,inf,,,inf,,inf
