File: ./hwmcc24/2024/sosylab/systemc/transmitter.10.cil.aig
15476 49.00       
15477 50.00       
15478 49.00       
15479 49.00       
15480 51.00       
15481 51.00       
15482 50.00       
15483 51.00       
15484 49.00       
15485 50.00       
15486 49.00       
15487 50.00       
15488 50.00       
15489 48.00       
15490 50.00       
15491 49.00       
15492 49.00       
15493 49.00       
15494 51.00       
15495 49.00       
15496 49.00       
15497 49.00       
15498 49.00       
15499 50.00       
15500 48.00       
15501 49.00       
15502 48.00       
15503 50.00       
15504 50.00       
15505 50.00       
15506 51.00       
15507 50.00       
15508 49.00       
15509 49.00       
15510 48.00       
15511 50.00       
15512 48.00       
15513 48.00       
15514 50.00       
15515 49.00       
15516 49.00       
15517 51.00       
15518 49.00       
15519 49.00       
15520 48.00       
15521 49.00       
15522 50.00       
15523 50.00       
15524 51.00       
15525 50.00       
15526 50.00       
15527 49.00       
15528 49.00       
15529 50.00       
15530 50.00       
15531 49.00       
15532 50.00       
15533 49.00       
15534 48.00       
15535 49.00       
15536 50.00       
15537 50.00       
15538 50.00       
15539 51.00       
15540 51.00       
15541 50.00       
15542 49.00       
15543 51.00       
15544 50.00       
15545 49.00       
15546 50.00       
15547 50.00       
15548 49.00       
15549 50.00       
15550 50.00       
15551 49.00       
15552 50.00       
15553 49.00       
15554 50.00       
15555 51.00       
15556 50.00       
15557 49.00       
15558 51.00       
15559 50.00       
15560 50.00       
15561 49.00       
15562 49.00       
15563 50.00       
15564 48.00       
15565 49.00       
15566 49.00       
15567 48.00       
15568 49.00       
15569 52.00       
15570 50.00       
15571 49.00       
15572 50.00       
15573 48.00       
15574 50.00       
15575 48.00       
15576 51.00       
15577 49.00       
15578 49.00       
15579 48.00       
15580 51.00       
15581 48.00       
15582 50.00       
15583 48.00       
15584 48.00       
15585 49.00       
15586 49.00       
15587 49.00       
15588 49.00       
15589 50.00       
15590 49.00       
15591 50.00       
15592 50.00       
15593 51.00       
15594 51.00       
15595 49.00       
15596 50.00       
15597 49.00       
15598 51.00       
15599 49.00       
15600 49.00       
15601 50.00       
15602 49.00       
15603 49.00       
15604 49.00       
15605 49.00       
15606 51.00       
15607 49.00       
15608 49.00       
15609 49.00       
15610 50.00       
15611 50.00       
15612 50.00       
15613 49.00       
15614 50.00       
15615 49.00       
15616 49.00       
15617 51.00       
15618 48.00       
15619 51.00       
15620 51.00       
15621 50.00       
15622 49.00       
15623 50.00       
15624 49.00       
15625 50.00       
15626 50.00       
15627 50.00       
15628 49.00       
15629 51.00       
15630 50.00       
15631 49.00       
15632 49.00       
15633 50.00       
15634 49.00       
15635 50.00       
15636 50.00       
15637 50.00       
15638 49.00       
15639 51.00       
15640 52.00       
15641 51.00       
15642 50.00       
15643 49.00       
15644 48.00       
15645 49.00       
15646 49.00       
15647 49.00       
15648 49.00       
15649 50.00       
15650 49.00       
15651 50.00       
15652 49.00       
15653 50.00       
15654 50.00       
15655 50.00       
15656 51.00       
15657 48.00       
15658 51.00       
15659 48.00       
15660 51.00       
15661 49.00       
15662 50.00       
15663 49.00       
15664 50.00       
15665 50.00       
15666 49.00       
15667 50.00       
15668 48.00       
15669 50.00       
15670 48.00       
15671 51.00       
15672 50.00       
15673 48.00       
15674 50.00       
15675 49.00       
15676 50.00       
15677 50.00       
15678 50.00       
15679 50.00       
15680 50.00       
15681 50.00       
15682 51.00       
15683 50.00       
15684 50.00       
15685 49.00       
15686 50.00       
15687 50.00       
15688 49.00       
15689 49.00       
15690 50.00       
15691 50.00       
15692 50.00       
15693 49.00       
15694 49.00       
15695 50.00       
15696 50.00       
15697 49.00       
15698 49.00       
15699 50.00       
15700 50.00       
15701 48.00       
15702 50.00       
15703 48.00       
15704 50.00       
15705 49.00       
15706 49.00       
15707 50.00       
15708 50.00       
15709 50.00       
15710 49.00       
15711 49.00       
15712 49.00       
15713 49.00       
15714 48.00       
15715 49.00       
15716 50.00       
15717 50.00       
15718 49.00       
15719 50.00       
15720 48.00       
15721 48.00       
15722 50.00       
15723 49.00       
15724 51.00       
15725 50.00       
15726 49.00       
15727 50.00       
15728 49.00       
15729 49.00       
15730 51.00       
15731 49.00       
15732 49.00       
15733 50.00       
15734 51.00       
15735 50.00       
15736 51.00       
15737 49.00       
15738 51.00       
15739 50.00       
15740 50.00       
15741 51.00       
15742 49.00       
15743 50.00       
15744 50.00       
15745 49.00       
15746 49.00       
15747 49.00       
15748 49.00       
15749 51.00       
15750 50.00       
15751 51.00       
15752 47.00       
15753 49.00       
15754 51.00       
15755 48.00       
15756 50.00       
15757 49.00       
15758 49.00       
15759 49.00       
15760 51.00       
15761 48.00       
15762 50.00       
15763 49.00       
15764 50.00       
15765 49.00       
15766 48.00       
15767 49.00       
15768 50.00       
15769 50.00       
15770 50.00       
15771 49.00       
15772 49.00       
15773 51.00       
15774 48.00       
15775 50.00       
15776 49.00       
15777 49.00       
15778 50.00       
15779 48.00       
15780 49.00       
15781 49.00       
15782 49.00       
15783 49.00       
15784 50.00       
15785 50.00       
15786 50.00       
15787 49.00       
15788 49.00       
15789 49.00       
15790 49.00       
15791 47.00       
15792 49.00       
15793 51.00       
15794 49.00       
15795 49.00       
15796 49.00       
15797 50.00       
15798 50.00       
15799 48.00       
15800 51.00       
15801 50.00       
15802 51.00       
15803 49.00       
15804 49.00       
15805 50.00       
15806 50.00       
15807 49.00       
15808 50.00       
15809 49.00       
15810 50.00       
15811 51.00       
15812 51.00       
15813 49.00       
15814 48.00       
15815 50.00       
15816 49.00       
15817 48.00       
15818 50.00       
15819 50.00       
15820 49.00       
15821 49.00       
15822 49.00       
15823 50.00       
15824 49.00       
15825 49.00       
15826 48.00       
15827 48.00       
15828 49.00       
15829 50.00       
15830 49.00       
15831 49.00       
15832 50.00       
15833 49.00       
15834 49.00       
15835 49.00       
15836 48.00       
15837 50.00       
15838 51.00       
15839 50.00       
15840 50.00       
15841 50.00       
15842 50.00       
15843 49.00       
15844 50.00       
15845 50.00       
15846 50.00       
15847 49.00       
15848 49.00       
15849 50.00       
15850 49.00       
15851 49.00       
15852 49.00       
15853 49.00       
15854 49.00       
15855 50.00       
15856 51.00       
15857 48.00       
15858 50.00       
15859 50.00       
15860 49.00       
15861 50.00       
15862 51.00       
15863 49.00       
15864 50.00       
15865 49.00       
15866 49.00       
15867 50.00       
15868 50.00       
15869 50.00       
15870 48.00       
15871 49.00       
15872 50.00       
15873 50.00       
15874 49.00       
15875 50.00       
15876 48.00       
15877 49.00       
15878 50.00       
15879 48.00       
15880 49.00       
15881 50.00       
15882 51.00       
15883 51.00       
15884 48.00       
15885 48.00       
15886 50.00       
15887 49.00       
15888 50.00       
15889 51.00       
15890 49.00       
15891 49.00       
15892 49.00       
15893 49.00       
15894 49.00       
15895 48.00       
15896 48.00       
15897 48.00       
15898 50.00       
15899 50.00       
15900 49.00       
15901 49.00       
15902 49.00       
15903 50.00       
15904 50.00       
15905 50.00       
15906 49.00       
15907 49.00       
15908 50.00       
15909 50.00       
15910 50.00       
15911 50.00       
15912 51.00       
15913 48.00       
15914 49.00       
15915 50.00       
15916 48.00       
15917 50.00       
15918 47.00       
15919 50.00       
15920 49.00       
15921 50.00       
15922 50.00       
15923 51.00       
15924 49.00       
15925 49.00       
15926 48.00       
15927 51.00       
15928 48.00       
15929 49.00       
15930 49.00       
15931 49.00       
15932 49.00       
15933 49.00       
15934 50.00       
15935 50.00       
15936 48.00       
15937 48.00       
15938 50.00       
15939 50.00       
15940 51.00       
15941 50.00       
15942 48.00       
15943 48.00       
15944 50.00       
15945 49.00       
15946 50.00       
15947 49.00       
15948 50.00       
15949 49.00       
15950 50.00       
15951 48.00       
15952 49.00       
15953 49.00       
15954 49.00       
15955 49.00       
15956 50.00       
15957 51.00       
15958 50.00       
15959 50.00       
15960 50.00       
15961 50.00       
15962 49.00       
15963 50.00       
15964 48.00       
15965 49.00       
15966 49.00       
15967 49.00       
15968 48.00       
15969 50.00       
15970 49.00       
15971 50.00       
15972 49.00       
15973 49.00       
15974 48.00       
15975 49.00       
15976 50.00       
15977 49.00       
15978 50.00       
15979 50.00       
15980 50.00       
15981 51.00       
15982 50.00       
15983 50.00       
15984 49.00       
15985 50.00       
15986 49.00       
15987 50.00       
15988 50.00       
15989 50.00       
15990 51.00       
15991 50.00       
15992 49.00       
15993 50.00       
15994 49.00       
15995 50.00       
15996 49.00       
15997 49.00       
15998 49.00       
15999 49.00       
16000 47.00       
16001 48.00       
16002 49.00       
16003 49.00       
16004 49.00       
16005 49.00       
16006 48.00       
16007 49.00       
16008 51.00       
16009 51.00       
16010 49.00       
16011 50.00       
16012 51.00       
16013 49.00       
16014 48.00       
16015 51.00       
16016 51.00       
16017 50.00       
16018 51.00       
16019 50.00       
16020 49.00       
16021 49.00       
16022 49.00       
16023 50.00       
16024 52.00       
16025 48.00       
16026 50.00       
16027 50.00       
16028 48.00       
16029 49.00       
16030 49.00       
16031 49.00       
16032 51.00       
16033 50.00       
16034 51.00       
16035 49.00       
16036 48.00       
16037 49.00       
16038 49.00       
16039 49.00       
16040 50.00       
16041 49.00       
16042 49.00       
16043 49.00       
16044 51.00       
16045 49.00       
16046 49.00       
16047 50.00       
16048 50.00       
16049 50.00       
16050 48.00       
16051 48.00       
16052 49.00       
16053 49.00       
16054 49.00       
16055 49.00       
16056 49.00       
16057 49.00       
16058 50.00       
16059 50.00       
16060 49.00       
16061 52.00       
16062 49.00       
16063 48.00       
16064 48.00       
16065 50.00       
16066 49.00       
16067 50.00       
16068 51.00       
16069 49.00       
16070 49.00       
16071 49.00       
16072 49.00       
16073 49.00       
16074 50.00       
16075 50.00       
16076 49.00       
16077 49.00       
16078 49.00       
16079 50.00       
16080 49.00       
16081 49.00       
16082 50.00       
16083 48.00       
16084 51.00       
16085 49.00       
16086 50.00       
16087 50.00       
16088 48.00       
16089 49.00       
16090 50.00       
16091 49.00       
16092 50.00       
16093 51.00       
16094 50.00       
16095 49.00       
16096 50.00       
16097 49.00       
16098 50.00       
16099 49.00       
16100 49.00       
16101 50.00       
16102 50.00       
16103 49.00       
16104 49.00       
16105 49.00       
16106 49.00       
16107 49.00       
16108 49.00       
16109 50.00       
16110 50.00       
16111 49.00       
16112 50.00       
16113 52.00       
16114 50.00       
16115 50.00       
16116 50.00       
16117 50.00       
16118 50.00       
16119 50.00       
16120 50.00       
16121 49.00       
16122 50.00       
16123 50.00       
16124 50.00       
16125 48.00       
16126 50.00       
16127 51.00       
16128 51.00       
16129 48.00       
16130 50.00       
16131 50.00       
16132 50.00       
16133 51.00       
16134 50.00       
16135 50.00       
16136 50.00       
16137 49.00       
16138 49.00       
16139 49.00       
16140 49.00       
16141 51.00       
16142 50.00       
16143 51.00       
16144 48.00       
16145 49.00       
16146 49.00       
16147 49.00       
16148 50.00       
16149 49.00       
16150 49.00       
16151 49.00       
16152 49.00       
16153 50.00       
16154 49.00       
16155 49.00       
16156 49.00       
16157 50.00       
16158 50.00       
16159 49.00       
16160 49.00       
16161 49.00       
16162 49.00       
16163 50.00       
16164 51.00       
16165 51.00       
16166 50.00       
16167 51.00       
16168 50.00       
16169 49.00       
16170 50.00       
16171 50.00       
16172 49.00       
16173 49.00       
16174 50.00       
16175 49.00       
16176 50.00       
16177 50.00       
16178 50.00       
16179 50.00       
16180 49.00       
16181 48.00       
16182 50.00       
16183 49.00       
16184 49.00       
16185 49.00       
16186 50.00       
16187 49.00       
16188 51.00       
16189 50.00       
16190 49.00       
16191 51.00       
16192 50.00       
16193 50.00       
16194 52.00       
16195 49.00       
16196 49.00       
16197 50.00       
16198 48.00       
16199 49.00       
16200 51.00       
16201 49.00       
16202 50.00       
16203 51.00       
16204 48.00       
16205 49.00       
16206 51.00       
16207 49.00       
16208 49.00       
16209 50.00       
16210 49.00       
16211 50.00       
16212 51.00       
16213 51.00       
16214 51.00       
16215 49.00       
16216 50.00       
16217 49.00       
16218 50.00       
16219 49.00       
16220 48.00       
16221 51.00       
16222 49.00       
16223 48.00       
16224 50.00       
16225 49.00       
16226 49.00       
16227 49.00       
16228 49.00       
16229 48.00       
16230 50.00       
16231 50.00       
16232 48.00       
16233 50.00       
16234 50.00       
16235 48.00       
16236 50.00       
16237 50.00       
16238 50.00       
16239 51.00       
16240 49.00       
16241 51.00       
16242 50.00       
16243 49.00       
16244 48.00       
16245 48.00       
16246 49.00       
16247 51.00       
16248 49.00       
16249 50.00       
16250 50.00       
16251 49.00       
16252 51.00       
16253 50.00       
16254 48.00       
16255 49.00       
16256 49.00       
16257 48.00       
16258 50.00       
16259 49.00       
16260 50.00       
16261 50.00       
16262 50.00       
16263 49.00       
16264 50.00       
16265 49.00       
16266 50.00       
16267 50.00       
16268 51.00       
16269 50.00       
16270 48.00       
16271 49.00       
16272 49.00       
16273 50.00       
16274 48.00       
16275 51.00       
16276 49.00       
16277 49.00       
16278 50.00       
16279 51.00       
16280 50.00       
16281 50.00       
16282 48.00       
16283 48.00       
16284 49.00       
16285 48.00       
16286 50.00       
16287 48.00       
16288 49.00       
16289 49.00       
16290 50.00       
16291 51.00       
16292 50.00       
16293 49.00       
16294 49.00       
16295 51.00       
16296 49.00       
16297 50.00       
16298 50.00       
16299 50.00       
16300 49.00       
16301 51.00       
16302 51.00       
16303 49.00       
16304 50.00       
16305 50.00       
16306 48.00       
16307 50.00       
16308 50.00       
16309 50.00       
16310 48.00       
16311 49.00       
16312 48.00       
16313 49.00       
16314 51.00       
16315 49.00       
16316 50.00       
16317 48.00       
16318 50.00       
16319 49.00       
16320 49.00       
16321 49.00       
16322 50.00       
16323 49.00       
16324 51.00       
16325 50.00       
16326 49.00       
16327 49.00       
16328 49.00       
16329 49.00       
16330 49.00       
16331 50.00       
16332 51.00       
16333 50.00       
16334 48.00       
16335 51.00       
16336 49.00       
16337 51.00       
16338 49.00       
16339 50.00       
16340 49.00       
16341 48.00       
16342 51.00       
16343 48.00       
16344 50.00       
16345 51.00       
16346 50.00       
16347 50.00       
16348 49.00       
16349 50.00       
16350 50.00       
16351 49.00       
16352 49.00       
16353 48.00       
16354 49.00       
16355 49.00       
16356 49.00       
16357 49.00       
16358 51.00       
16359 49.00       
16360 50.00       
16361 50.00       
16362 49.00       
16363 49.00       
16364 48.00       
16365 51.00       
16366 49.00       
16367 49.00       
16368 49.00       
16369 50.00       
16370 50.00       
16371 50.00       
16372 49.00       
16373 48.00       
16374 49.00       
16375 49.00       
16376 51.00       
16377 49.00       
16378 50.00       
16379 49.00       
16380 50.00       
16381 50.00       
16382 49.00       
16383 50.00       
16384 49.00       
16385 50.00       
16386 49.00       
16387 50.00       
16388 49.00       
16389 50.00       
16390 48.00       
16391 48.00       
16392 49.00       
16393 50.00       
16394 50.00       
16395 51.00       
16396 48.00       
16397 50.00       
16398 50.00       
16399 48.00       
16400 50.00       
16401 49.00       
16402 50.00       
16403 48.00       
16404 49.00       
16405 50.00       
16406 49.00       
16407 50.00       
16408 49.00       
16409 50.00       
16410 49.00       
16411 50.00       
16412 48.00       
16413 49.00       
16414 49.00       
16415 49.00       
16416 49.00       
16417 50.00       
16418 49.00       
16419 49.00       
16420 48.00       
16421 49.00       
16422 50.00       
16423 49.00       
16424 51.00       
16425 50.00       
16426 50.00       
16427 49.00       
16428 49.00       
16429 50.00       
16430 50.00       
16431 51.00       
16432 50.00       
16433 49.00       
16434 50.00       
16435 48.00       
16436 49.00       
16437 49.00       
16438 50.00       
16439 50.00       
16440 50.00       
16441 51.00       
16442 48.00       
16443 49.00       
16444 51.00       
16445 48.00       
16446 51.00       
16447 49.00       
16448 48.00       
16449 50.00       
16450 47.00       
16451 50.00       
16452 49.00       
16453 48.00       
16454 50.00       
16455 51.00       
16456 50.00       
16457 48.00       
16458 50.00       
16459 50.00       
16460 50.00       
16461 49.00       
16462 49.00       
16463 48.00       
16464 49.00       
16465 50.00       
16466 50.00       
16467 51.00       
16468 51.00       
16469 50.00       
16470 49.00       
16471 49.00       
16472 49.00       
16473 49.00       
16474 50.00       
16475 50.00       
16476 49.00       
16477 51.00       
16478 48.00       
16479 48.00       
16480 49.00       
16481 50.00       
16482 49.00       
16483 50.00       
16484 50.00       
16485 50.00       
16486 50.00       
16487 49.00       
16488 51.00       
16489 51.00       
16490 49.00       
16491 50.00       
16492 49.00       
16493 48.00       
16494 49.00       
16495 49.00       
16496 49.00       
16497 51.00       
16498 48.00       
16499 50.00       
16500 50.00       
16501 50.00       
16502 49.00       
16503 49.00       
16504 48.00       
16505 51.00       
16506 49.00       
16507 49.00       
16508 48.00       
16509 49.00       
16510 50.00       
16511 49.00       
16512 49.00       
16513 50.00       
16514 49.00       
16515 50.00       
16516 50.00       
16517 48.00       
16518 49.00       
16519 49.00       
16520 49.00       
16521 50.00       
16522 50.00       
16523 48.00       
16524 50.00       
16525 50.00       
16526 50.00       
16527 49.00       
16528 50.00       
16529 51.00       
16530 50.00       
16531 48.00       
16532 51.00       
16533 50.00       
16534 48.00       
16535 50.00       
16536 50.00       
16537 50.00       
16538 50.00       
16539 49.00       
16540 50.00       
16541 50.00       
16542 50.00       
16543 50.00       
16544 50.00       
16545 50.00       
16546 50.00       
16547 49.00       
16548 51.00       
16549 51.00       
16550 51.00       
16551 50.00       
16552 51.00       
16553 50.00       
16554 50.00       
16555 49.00       
16556 50.00       
16557 50.00       
16558 50.00       
16559 49.00       
16560 50.00       
16561 49.00       
16562 50.00       
16563 49.00       
16564 50.00       
16565 50.00       
16566 50.00       
16567 48.00       
16568 49.00       
16569 51.00       
16570 50.00       
16571 50.00       
16572 51.00       
16573 50.00       
16574 51.00       
16575 49.00       
16576 48.00       
16577 50.00       
16578 48.00       
16579 50.00       
16580 51.00       
16581 50.00       
16582 49.00       
16583 50.00       
16584 51.00       
16585 49.00       
16586 49.00       
16587 51.00       
16588 48.00       
16589 51.00       
16590 48.00       
16591 49.00       
16592 50.00       
16593 50.00       
16594 50.00       
16595 50.00       
16596 48.00       
16597 50.00       
16598 49.00       
16599 50.00       
16600 50.00       
16601 50.00       
16602 49.00       
16603 48.00       
16604 50.00       
16605 48.00       
16606 49.00       
16607 49.00       
16608 49.00       
16609 51.00       
16610 49.00       
16611 51.00       
16612 50.00       
16613 50.00       
16614 50.00       
16615 51.00       
16616 49.00       
16617 50.00       
16618 51.00       
16619 50.00       
16620 48.00       
16621 49.00       
16622 51.00       
16623 50.00       
16624 48.00       
16625 50.00       
16626 49.00       
16627 50.00       
16628 49.00       
16629 50.00       
16630 51.00       
16631 51.00       
16632 49.00       
16633 50.00       
16634 51.00       
16635 49.00       
16636 48.00       
16637 50.00       
16638 49.00       
16639 48.00       
16640 50.00       
16641 49.00       
16642 49.00       
16643 49.00       
16644 49.00       
16645 49.00       
16646 50.00       
16647 49.00       
16648 50.00       
16649 50.00       
16650 49.00       
16651 50.00       
16652 50.00       
16653 50.00       
16654 49.00       
16655 49.00       
16656 49.00       
16657 50.00       
16658 47.00       
16659 49.00       
16660 50.00       
16661 49.00       
16662 49.00       
16663 50.00       
16664 50.00       
16665 49.00       
16666 50.00       
16667 50.00       
16668 49.00       
16669 49.00       
16670 48.00       
16671 50.00       
16672 50.00       
16673 49.00       
16674 49.00       
16675 49.00       
16676 49.00       
16677 49.00       
16678 50.00       
16679 49.00       
16680 49.00       
16681 50.00       
16682 49.00       
16683 50.00       
16684 49.00       
16685 47.00       
16686 50.00       
16687 49.00       
16688 50.00       
16689 49.00       
16690 48.00       
16691 49.00       
16692 50.00       
16693 49.00       
16694 49.00       
16695 50.00       
16696 49.00       
16697 50.00       
16698 50.00       
16699 49.00       
16700 49.00       
16701 49.00       
16702 51.00       
16703 50.00       
16704 49.00       
16705 49.00       
16706 50.00       
16707 49.00       
16708 51.00       
16709 50.00       
16710 50.00       
16711 51.00       
16712 49.00       
16713 51.00       
16714 49.00       
16715 50.00       
16716 49.00       
16717 50.00       
16718 50.00       
16719 49.00       
16720 51.00       
16721 50.00       
16722 49.00       
16723 52.00       
16724 49.00       
16725 49.00       
16726 49.00       
16727 51.00       
16728 50.00       
16729 50.00       
16730 50.00       
16731 49.00       
16732 48.00       
16733 50.00       
16734 49.00       
16735 50.00       
16736 51.00       
16737 49.00       
16738 50.00       
16739 48.00       
16740 49.00       
16741 49.00       
16742 50.00       
16743 50.00       
16744 49.00       
16745 49.00       
16746 50.00       
16747 49.00       
16748 49.00       
16749 50.00       
16750 51.00       
16751 50.00       
16752 50.00       
16753 49.00       
16754 50.00       
16755 49.00       
16756 49.00       
16757 51.00       
16758 51.00       
16759 50.00       
16760 49.00       
16761 50.00       
16762 50.00       
16763 50.00       
16764 48.00       
16765 49.00       
16766 49.00       
16767 49.00       
16768 50.00       
16769 50.00       
16770 49.00       
16771 48.00       
16772 50.00       
16773 49.00       
16774 51.00       
16775 49.00       
16776 50.00       
16777 50.00       
16778 50.00       
16779 50.00       
16780 50.00       
16781 50.00       
16782 49.00       
16783 50.00       
16784 51.00       
16785 50.00       
16786 49.00       
16787 50.00       
16788 48.00       
16789 49.00       
16790 48.00       
16791 50.00       
16792 49.00       
16793 51.00       
16794 50.00       
16795 49.00       
16796 48.00       
16797 49.00       
16798 50.00       
16799 50.00       
16800 49.00       
16801 50.00       
16802 49.00       
16803 49.00       
16804 50.00       
16805 48.00       
16806 49.00       
16807 50.00       
16808 51.00       
16809 50.00       
16810 50.00       
16811 50.00       
16812 48.00       
16813 50.00       
16814 49.00       
16815 49.00       
16816 50.00       
16817 50.00       
16818 49.00       
16819 48.00       
16820 50.00       
16821 50.00       
16822 50.00       
16823 50.00       
16824 50.00       
16825 48.00       
16826 48.00       
16827 50.00       
16828 49.00       
16829 50.00       
16830 49.00       
16831 50.00       
16832 50.00       
16833 49.00       
16834 50.00       
16835 50.00       
16836 49.00       
16837 50.00       
16838 48.00       
16839 49.00       
16840 50.00       
16841 49.00       
16842 50.00       
16843 48.00       
16844 49.00       
16845 50.00       
16846 49.00       
16847 49.00       
16848 49.00       
16849 49.00       
16850 50.00       
16851 51.00       
16852 50.00       
16853 49.00       
16854 49.00       
16855 48.00       
16856 48.00       
16857 50.00       
16858 50.00       
16859 49.00       
16860 49.00       
16861 50.00       
16862 49.00       
16863 49.00       
16864 49.00       
16865 49.00       
16866 50.00       
16867 50.00       
16868 50.00       
16869 49.00       
16870 50.00       
16871 49.00       
16872 50.00       
16873 50.00       
16874 49.00       
16875 51.00       
16876 51.00       
16877 49.00       
16878 50.00       
16879 49.00       
16880 49.00       
16881 50.00       
16882 49.00       
16883 49.00       
16884 48.00       
16885 49.00       
16886 49.00       
16887 49.00       
16888 50.00       
16889 50.00       
16890 51.00       
16891 51.00       
16892 48.00       
16893 50.00       
16894 49.00       
16895 48.00       
16896 50.00       
16897 49.00       
16898 50.00       
16899 49.00       
16900 50.00       
16901 50.00       
16902 49.00       
16903 50.00       
16904 50.00       
16905 50.00       
16906 49.00       
16907 49.00       
16908 49.00       
16909 50.00       
16910 50.00       
16911 49.00       
16912 50.00       
16913 51.00       
16914 51.00       
16915 51.00       
16916 48.00       
16917 49.00       
16918 49.00       
16919 50.00       
16920 51.00       
16921 49.00       
16922 51.00       
16923 48.00       
16924 51.00       
16925 50.00       
16926 49.00       
16927 48.00       
16928 49.00       
16929 50.00       
16930 51.00       
16931 49.00       
16932 49.00       
16933 49.00       
16934 50.00       
16935 50.00       
16936 50.00       
16937 49.00       
16938 50.00       
16939 49.00       
16940 50.00       
16941 48.00       
16942 49.00       
16943 50.00       
16944 49.00       
16945 51.00       
16946 51.00       
16947 51.00       
16948 49.00       
16949 49.00       
16950 49.00       
16951 50.00       
16952 50.00       
16953 50.00       
16954 50.00       
16955 49.00       
16956 49.00       
16957 50.00       
16958 51.00       
16959 51.00       
16960 50.00       
16961 51.00       
16962 50.00       
16963 50.00       
16964 51.00       
16965 49.00       
16966 50.00       
16967 49.00       
16968 49.00       
16969 49.00       
16970 49.00       
16971 51.00       
16972 50.00       
16973 51.00       
16974 49.00       
16975 50.00       
16976 49.00       
16977 50.00       
16978 49.00       
16979 50.00       
16980 52.00       
16981 48.00       
16982 50.00       
16983 49.00       
16984 49.00       
16985 49.00       
16986 50.00       
16987 49.00       
16988 48.00       
16989 49.00       
16990 50.00       
16991 50.00       
16992 50.00       
16993 50.00       
16994 49.00       
16995 50.00       
16996 50.00       
16997 49.00       
16998 49.00       
16999 49.00       
17000 51.00       
17001 49.00       
17002 50.00       
17003 50.00       
17004 49.00       
17005 48.00       
17006 49.00       
17007 50.00       
17008 50.00       
17009 50.00       
17010 50.00       
17011 48.00       
17012 48.00       
17013 49.00       
17014 50.00       
17015 49.00       
17016 50.00       
17017 49.00       
17018 49.00       
17019 50.00       
17020 48.00       
17021 49.00       
17022 51.00       
17023 49.00       
17024 49.00       
17025 51.00       
17026 50.00       
17027 48.00       
17028 49.00       
17029 49.00       
17030 51.00       
17031 49.00       
17032 50.00       
17033 50.00       
17034 50.00       
17035 48.00       
17036 49.00       
17037 49.00       
