File: ./hwmcc13/single/oski1rub01.aig
11748 0.00        
11749 51.00       
11750 20.00       
11751 0.00        
11752 98.00       
11753 98.00       
11754 0.00        
11755 1.00        
11756 1.00        
11757 0.00        
11758 0.00        
11759 0.00        
11760 0.00        
11761 0.00        
11762 60.00       
11763 49.00       
11764 98.00       
11765 98.00       
11766 3.00        
11767 49.00       
11768 98.00       
11769 98.00       
11770 4.00        
11771 49.00       
11772 98.00       
11773 98.00       
11774 2.00        
11775 50.00       
11776 98.00       
11777 98.00       
11778 3.00        
11779 48.00       
11780 98.00       
11781 98.00       
11782 4.00        
11783 0.00        
11784 0.00        
11785 20.00       
11786 2.00        
11787 1.00        
11788 0.00        
11789 0.00        
11790 0.00        
11791 59.00       
11792 0.00        
11793 0.00        
11794 39.00       
11795 0.00        
11796 0.00        
11797 21.00       
11798 49.00       
11799 0.00        
11800 0.00        
11801 51.00       
11802 39.00       
11803 0.00        
11804 49.00       
11805 21.00       
11806 0.00        
11807 99.00       
11808 98.00       
11809 98.00       
11810 49.00       
11811 0.00        
11812 50.00       
11813 0.00        
11814 0.00        
11815 0.00        
11816 0.00        
11817 0.00        
11818 0.00        
11819 0.00        
11820 48.00       
11821 98.00       
11822 98.00       
11823 50.00       
11824 49.00       
11825 50.00       
11826 47.00       
11827 98.00       
11828 98.00       
11829 51.00       
11830 50.00       
11831 49.00       
11832 49.00       
11833 97.00       
11834 97.00       
11835 50.00       
11836 50.00       
11837 49.00       
11838 49.00       
11839 97.00       
11840 97.00       
11841 49.00       
11842 50.00       
11843 51.00       
11844 0.00        
11845 49.00       
11846 98.00       
11847 98.00       
11848 49.00       
11849 49.00       
11850 49.00       
11851 50.00       
11852 98.00       
11853 98.00       
11854 50.00       
11855 1.00        
11856 39.00       
11857 49.00       
11858 96.00       
11859 96.00       
11860 49.00       
11861 1.00        
11862 58.00       
11863 49.00       
11864 98.00       
11865 98.00       
11866 49.00       
11867 1.00        
11868 39.00       
11869 48.00       
11870 98.00       
11871 98.00       
11872 48.00       
11873 1.00        
11874 20.00       
11875 48.00       
11876 97.00       
11877 98.00       
11878 48.00       
11879 1.00        
11880 19.00       
11881 51.00       
11882 40.00       
11883 0.00        
11884 51.00       
11885 0.00        
11886 0.00        
11887 49.00       
11888 94.00       
11889 0.00        
11890 50.00       
11891 40.00       
11892 0.00        
11893 99.00       
11894 98.00       
11895 99.00       
11896 98.00       
11897 98.00       
11898 5.00        
11899 0.00        
11900 0.00        
11901 0.00        
11902 0.00        
11903 49.00       
11904 4.00        
11905 2.00        
11906 0.00        
11907 97.00       
11908 0.00        
11909 0.00        
11910 1.00        
11911 0.00        
11912 0.00        
11913 0.00        
11914 58.00       
11915 49.00       
11916 48.00       
11917 98.00       
11918 98.00       
11919 50.00       
11920 50.00       
11921 49.00       
11922 49.00       
11923 98.00       
11924 98.00       
11925 50.00       
11926 51.00       
11927 49.00       
11928 48.00       
11929 98.00       
11930 98.00       
11931 50.00       
11932 50.00       
11933 50.00       
11934 48.00       
11935 98.00       
11936 98.00       
11937 49.00       
11938 50.00       
11939 49.00       
11940 0.00        
11941 47.00       
11942 98.00       
11943 98.00       
11944 49.00       
11945 50.00       
11946 50.00       
11947 0.00        
11948 0.00        
11949 59.00       
11950 0.00        
11951 0.00        
11952 39.00       
11953 0.00        
11954 0.00        
11955 39.00       
11956 0.00        
11957 0.00        
11958 58.00       
11959 2.00        
11960 0.00        
11961 38.00       
11962 49.00       
11963 49.00       
11964 59.00       
11965 0.00        
11966 49.00       
11967 58.00       
11968 0.00        
11969 50.00       
11970 59.00       
11971 0.00        
11972 0.00        
11973 51.00       
11974 50.00       
11975 78.00       
11976 0.00        
11977 0.00        
11978 99.00       
11979 98.00       
11980 99.00       
11981 98.00       
11982 98.00       
11983 50.00       
11984 0.00        
11985 50.00       
11986 50.00       
11987 49.00       
11988 4.00        
11989 1.00        
11990 0.00        
11991 0.00        
11992 1.00        
11993 98.00       
11994 0.00        
11995 3.00        
11996 0.00        
11997 0.00        
11998 0.00        
11999 0.00        
12000 0.00        
12001 48.00       
12002 98.00       
12003 98.00       
12004 0.00        
12005 49.00       
12006 98.00       
12007 98.00       
12008 49.00       
12009 98.00       
12010 98.00       
12011 49.00       
12012 98.00       
12013 98.00       
12014 0.00        
12015 48.00       
12016 98.00       
12017 98.00       
12018 98.00       
12019 50.00       
12020 49.00       
12021 97.00       
12022 98.00       
12023 49.00       
12024 1.00        
12025 38.00       
12026 98.00       
12027 50.00       
12028 49.00       
12029 97.00       
12030 98.00       
12031 49.00       
12032 1.00        
12033 78.00       
12034 97.00       
12035 50.00       
12036 50.00       
12037 97.00       
12038 98.00       
12039 50.00       
12040 1.00        
12041 39.00       
12042 98.00       
12043 50.00       
12044 49.00       
12045 98.00       
12046 98.00       
12047 49.00       
12048 1.00        
12049 1.00        
12050 97.00       
12051 50.00       
12052 49.00       
12053 96.00       
12054 97.00       
12055 49.00       
12056 1.00        
12057 0.00        
12058 50.00       
12059 19.00       
12060 0.00        
12061 50.00       
12062 78.00       
12063 0.00        
12064 0.00        
12065 51.00       
12066 50.00       
12067 19.00       
12068 0.00        
12069 0.00        
12070 50.00       
12071 49.00       
12072 48.00       
12073 20.00       
12074 99.00       
12075 98.00       
12076 99.00       
12077 98.00       
12078 98.00       
12079 0.00        
12080 50.00       
12081 4.00        
12082 5.00        
12083 0.00        
12084 0.00        
12085 98.00       
12086 0.00        
12087 1.00        
12088 98.00       
12089 1.00        
12090 0.00        
12091 0.00        
12092 0.00        
12093 0.00        
12094 0.00        
12095 97.00       
12096 0.00        
12097 49.00       
12098 97.00       
12099 97.00       
12100 0.00        
12101 98.00       
12102 0.00        
12103 50.00       
12104 98.00       
12105 98.00       
12106 98.00       
12107 0.00        
12108 47.00       
12109 97.00       
12110 97.00       
12111 98.00       
12112 0.00        
12113 49.00       
12114 98.00       
12115 98.00       
12116 51.00       
12117 59.00       
12118 0.00        
12119 98.00       
12120 0.00        
12121 50.00       
12122 97.00       
12123 97.00       
12124 1.00        
12125 0.00        
12126 40.00       
12127 0.00        
12128 0.00        
12129 59.00       
12130 1.00        
12131 0.00        
12132 79.00       
12133 0.00        
12134 0.00        
12135 98.00       
12136 1.00        
12137 0.00        
12138 59.00       
12139 48.00       
12140 0.00        
12141 51.00       
12142 50.00       
12143 39.00       
12144 0.00        
12145 0.00        
12146 0.00        
12147 51.00       
12148 50.00       
12149 98.00       
12150 0.00        
12151 0.00        
12152 50.00       
12153 49.00       
12154 48.00       
12155 58.00       
12156 1.00        
12157 19.00       
12158 50.00       
12159 48.00       
12160 57.00       
12161 99.00       
12162 98.00       
12163 99.00       
12164 98.00       
12165 98.00       
12166 50.00       
12167 0.00        
12168 0.00        
12169 98.00       
12170 0.00        
12171 98.00       
12172 3.00        
12173 0.00        
12174 98.00       
12175 0.00        
12176 97.00       
12177 0.00        
12178 49.00       
12179 98.00       
12180 98.00       
12181 0.00        
12182 98.00       
12183 1.00        
12184 49.00       
12185 97.00       
12186 98.00       
12187 0.00        
12188 98.00       
12189 49.00       
12190 98.00       
12191 97.00       
12192 1.00        
12193 98.00       
12194 50.00       
12195 97.00       
12196 96.00       
12197 1.00        
12198 98.00       
12199 49.00       
12200 78.00       
12201 0.00        
12202 48.00       
12203 98.00       
12204 98.00       
12205 0.00        
12206 98.00       
12207 51.00       
12208 49.00       
12209 97.00       
12210 1.00        
12211 38.00       
12212 95.00       
12213 51.00       
12214 50.00       
12215 97.00       
12216 1.00        
12217 38.00       
12218 98.00       
12219 51.00       
12220 47.00       
12221 97.00       
12222 1.00        
12223 21.00       
12224 98.00       
12225 51.00       
12226 49.00       
12227 97.00       
12228 1.00        
12229 21.00       
12230 97.00       
12231 51.00       
12232 50.00       
12233 97.00       
12234 1.00        
12235 20.00       
12236 49.00       
12237 48.00       
12238 39.00       
12239 50.00       
12240 49.00       
12241 48.00       
12242 19.00       
12243 1.00        
12244 19.00       
12245 50.00       
12246 48.00       
12247 59.00       
12248 50.00       
12249 1.00        
12250 95.00       
12251 50.00       
12252 51.00       
12253 77.00       
12254 50.00       
12255 39.00       
12256 99.00       
12257 98.00       
12258 99.00       
12259 99.00       
12260 98.00       
12261 1.00        
12262 0.00        
12263 1.00        
12264 98.00       
12265 2.00        
12266 48.00       
12267 97.00       
12268 98.00       
12269 0.00        
12270 98.00       
12271 0.00        
12272 47.00       
12273 98.00       
12274 98.00       
12275 0.00        
12276 96.00       
12277 49.00       
12278 97.00       
12279 98.00       
12280 0.00        
12281 49.00       
12282 95.00       
12283 98.00       
12284 0.00        
12285 50.00       
12286 78.00       
12287 0.00        
12288 49.00       
12289 98.00       
12290 98.00       
12291 0.00        
12292 0.00        
12293 0.00        
12294 0.00        
12295 0.00        
12296 0.00        
12297 39.00       
12298 0.00        
12299 0.00        
12300 1.00        
12301 0.00        
12302 0.00        
12303 60.00       
12304 0.00        
12305 0.00        
12306 19.00       
12307 51.00       
12308 1.00        
12309 0.00        
12310 50.00       
12311 48.00       
12312 38.00       
12313 1.00        
12314 21.00       
12315 50.00       
12316 48.00       
12317 59.00       
12318 50.00       
12319 1.00        
12320 40.00       
12321 50.00       
12322 51.00       
12323 79.00       
12324 50.00       
12325 21.00       
12326 1.00        
12327 39.00       
12328 48.00       
12329 99.00       
12330 98.00       
12331 99.00       
12332 99.00       
12333 98.00       
12334 0.00        
12335 0.00        
12336 0.00        
12337 0.00        
12338 48.00       
12339 97.00       
12340 98.00       
12341 49.00       
12342 98.00       
12343 98.00       
12344 48.00       
12345 97.00       
12346 98.00       
12347 48.00       
12348 97.00       
12349 98.00       
12350 51.00       
12351 50.00       
12352 98.00       
12353 47.00       
12354 98.00       
12355 97.00       
12356 98.00       
12357 48.00       
12358 48.00       
12359 98.00       
12360 1.00        
12361 20.00       
12362 20.00       
12363 98.00       
12364 48.00       
12365 49.00       
12366 98.00       
12367 1.00        
12368 77.00       
12369 59.00       
12370 98.00       
12371 48.00       
12372 49.00       
12373 98.00       
12374 1.00        
12375 39.00       
12376 79.00       
12377 98.00       
12378 48.00       
12379 49.00       
12380 98.00       
12381 1.00        
12382 38.00       
12383 1.00        
12384 96.00       
12385 48.00       
12386 48.00       
12387 97.00       
12388 1.00        
12389 39.00       
12390 79.00       
12391 1.00        
12392 19.00       
12393 50.00       
12394 51.00       
12395 59.00       
12396 50.00       
12397 79.00       
12398 50.00       
12399 1.00        
12400 39.00       
12401 50.00       
12402 51.00       
12403 40.00       
12404 50.00       
12405 78.00       
12406 1.00        
12407 0.00        
12408 48.00       
12409 20.00       
12410 99.00       
12411 98.00       
12412 99.00       
12413 98.00       
12414 98.00       
12415 0.00        
12416 0.00        
12417 99.00       
12418 0.00        
12419 0.00        
12420 0.00        
12421 0.00        
12422 50.00       
12423 77.00       
12424 0.00        
12425 0.00        
12426 97.00       
12427 98.00       
12428 97.00       
12429 98.00       
12430 49.00       
12431 48.00       
12432 58.00       
12433 1.00        
12434 97.00       
12435 0.00        
12436 0.00        
12437 0.00        
12438 0.00        
12439 0.00        
12440 1.00        
12441 39.00       
12442 48.00       
12443 1.00        
12444 59.00       
12445 48.00       
12446 59.00       
12447 20.00       
12448 99.00       
12449 98.00       
12450 99.00       
12451 99.00       
12452 98.00       
12453 0.00        
12454 0.00        
12455 0.00        
12456 51.00       
12457 99.00       
12458 0.00        
12459 3.00        
12460 0.00        
12461 0.00        
12462 0.00        
12463 1.00        
12464 0.00        
12465 0.00        
12466 0.00        
12467 0.00        
12468 48.00       
12469 1.00        
12470 0.00        
12471 0.00        
12472 0.00        
12473 0.00        
12474 0.00        
12475 0.00        
12476 0.00        
12477 39.00       
12478 50.00       
12479 48.00       
12480 23.00       
12481 1.00        
12482 48.00       
12483 1.00        
12484 78.00       
12485 58.00       
12486 20.00       
12487 99.00       
12488 60.00       
12489 99.00       
12490 98.00       
12491 99.00       
12492 98.00       
12493 98.00       
12494 0.00        
12495 0.00        
12496 0.00        
12497 0.00        
12498 40.00       
12499 52.00       
12500 0.00        
12501 0.00        
12502 0.00        
12503 1.00        
12504 0.00        
12505 1.00        
12506 0.00        
12507 0.00        
12508 0.00        
12509 0.00        
12510 0.00        
12511 0.00        
12512 51.00       
12513 3.00        
12514 0.00        
12515 0.00        
12516 0.00        
12517 0.00        
12518 50.00       
12519 45.00       
12520 1.00        
12521 0.00        
12522 0.00        
12523 0.00        
12524 0.00        
12525 0.00        
12526 0.00        
12527 1.00        
12528 0.00        
12529 0.00        
12530 0.00        
12531 0.00        
12532 0.00        
12533 0.00        
12534 1.00        
12535 2.00        
12536 0.00        
12537 51.00       
12538 39.00       
12539 0.00        
12540 0.00        
12541 0.00        
12542 0.00        
12543 0.00        
12544 39.00       
12545 50.00       
12546 0.00        
12547 0.00        
12548 0.00        
12549 0.00        
12550 0.00        
12551 79.00       
12552 59.00       
12553 99.00       
12554 97.00       
12555 79.00       
12556 39.00       
12557 99.00       
12558 98.00       
12559 99.00       
12560 98.00       
12561 98.00       
12562 0.00        
12563 0.00        
12564 0.00        
12565 49.00       
12566 50.00       
12567 54.00       
12568 0.00        
12569 0.00        
12570 0.00        
12571 0.00        
12572 0.00        
12573 0.00        
12574 0.00        
12575 0.00        
12576 0.00        
12577 0.00        
12578 0.00        
12579 43.00       
12580 0.00        
12581 0.00        
12582 0.00        
12583 1.00        
12584 0.00        
12585 41.00       
12586 0.00        
12587 0.00        
12588 0.00        
12589 0.00        
12590 54.00       
12591 49.00       
12592 0.00        
12593 0.00        
12594 0.00        
12595 0.00        
12596 0.00        
12597 0.00        
12598 0.00        
12599 55.00       
12600 45.00       
12601 53.00       
12602 52.00       
12603 50.00       
12604 4.00        
12605 1.00        
12606 1.00        
12607 0.00        
12608 1.00        
12609 0.00        
12610 0.00        
12611 0.00        
12612 0.00        
12613 0.00        
12614 0.00        
12615 0.00        
12616 0.00        
12617 0.00        
12618 0.00        
12619 1.00        
12620 0.00        
12621 0.00        
12622 0.00        
12623 0.00        
12624 0.00        
12625 0.00        
12626 0.00        
12627 0.00        
12628 1.00        
12629 0.00        
12630 0.00        
12631 1.00        
12632 0.00        
12633 0.00        
12634 0.00        
12635 1.00        
12636 1.00        
12637 0.00        
12638 0.00        
12639 0.00        
12640 0.00        
12641 0.00        
12642 0.00        
12643 0.00        
12644 19.00       
12645 0.00        
12646 0.00        
12647 0.00        
12648 0.00        
12649 0.00        
12650 59.00       
12651 99.00       
12652 78.00       
12653 58.00       
12654 20.00       
12655 98.00       
12656 98.00       
12657 99.00       
12658 98.00       
12659 98.00       
12660 0.00        
12661 1.00        
12662 45.00       
12663 42.00       
12664 53.00       
12665 55.00       
12666 0.00        
12667 0.00        
12668 0.00        
12669 0.00        
12670 0.00        
12671 0.00        
12672 0.00        
12673 0.00        
12674 0.00        
12675 0.00        
12676 1.00        
12677 0.00        
12678 0.00        
12679 53.00       
12680 51.00       
12681 0.00        
12682 0.00        
12683 0.00        
12684 0.00        
12685 50.00       
12686 41.00       
12687 0.00        
12688 0.00        
12689 0.00        
12690 0.00        
12691 50.00       
12692 46.00       
12693 54.00       
12694 53.00       
12695 49.00       
12696 1.00        
12697 0.00        
12698 0.00        
12699 0.00        
12700 0.00        
12701 0.00        
12702 0.00        
12703 0.00        
12704 50.00       
12705 53.00       
12706 46.00       
12707 50.00       
12708 0.00        
12709 0.00        
12710 0.00        
12711 3.00        
12712 0.00        
12713 0.00        
12714 1.00        
12715 0.00        
12716 0.00        
12717 0.00        
12718 0.00        
12719 0.00        
12720 0.00        
12721 0.00        
12722 0.00        
12723 0.00        
12724 0.00        
12725 0.00        
12726 0.00        
12727 0.00        
12728 0.00        
12729 0.00        
12730 0.00        
12731 1.00        
12732 0.00        
12733 0.00        
12734 0.00        
12735 0.00        
12736 0.00        
12737 0.00        
12738 0.00        
12739 0.00        
12740 0.00        
12741 0.00        
12742 0.00        
12743 1.00        
12744 0.00        
12745 0.00        
12746 0.00        
12747 0.00        
12748 0.00        
12749 0.00        
12750 1.00        
12751 1.00        
12752 0.00        
12753 0.00        
12754 0.00        
12755 1.00        
12756 0.00        
12757 0.00        
12758 0.00        
12759 0.00        
12760 0.00        
12761 0.00        
12762 0.00        
12763 0.00        
12764 0.00        
12765 0.00        
12766 0.00        
12767 0.00        
12768 0.00        
12769 1.00        
12770 0.00        
12771 1.00        
12772 0.00        
12773 0.00        
12774 0.00        
12775 0.00        
12776 0.00        
12777 79.00       
12778 19.00       
12779 20.00       
12780 94.00       
12781 59.00       
12782 99.00       
12783 98.00       
12784 99.00       
12785 98.00       
12786 98.00       
12787 0.00        
12788 60.00       
12789 50.00       
12790 51.00       
12791 0.00        
12792 0.00        
12793 0.00        
12794 0.00        
12795 0.00        
12796 0.00        
12797 0.00        
12798 0.00        
12799 0.00        
12800 0.00        
12801 0.00        
12802 0.00        
12803 0.00        
12804 0.00        
12805 60.00       
12806 47.00       
12807 41.00       
12808 48.00       
12809 47.00       
12810 1.00        
12811 0.00        
12812 0.00        
12813 1.00        
12814 45.00       
12815 42.00       
12816 53.00       
12817 47.00       
12818 50.00       
12819 51.00       
12820 45.00       
12821 52.00       
12822 47.00       
12823 0.00        
12824 0.00        
12825 0.00        
12826 0.00        
12827 0.00        
12828 0.00        
12829 0.00        
12830 0.00        
12831 0.00        
12832 0.00        
12833 0.00        
12834 0.00        
12835 54.00       
12836 46.00       
12837 52.00       
12838 45.00       
12839 2.00        
12840 0.00        
12841 0.00        
12842 0.00        
12843 0.00        
12844 0.00        
12845 0.00        
12846 0.00        
12847 0.00        
12848 0.00        
12849 1.00        
12850 0.00        
12851 0.00        
12852 0.00        
12853 0.00        
12854 0.00        
12855 0.00        
12856 0.00        
12857 0.00        
12858 0.00        
12859 0.00        
12860 0.00        
12861 0.00        
12862 0.00        
12863 0.00        
12864 0.00        
12865 2.00        
12866 0.00        
12867 0.00        
12868 0.00        
12869 0.00        
12870 0.00        
12871 0.00        
12872 0.00        
12873 0.00        
12874 0.00        
12875 0.00        
12876 0.00        
12877 0.00        
12878 0.00        
12879 0.00        
12880 0.00        
12881 0.00        
12882 0.00        
12883 1.00        
12884 0.00        
12885 0.00        
12886 0.00        
12887 0.00        
12888 37.00       
12889 0.00        
12890 0.00        
12891 0.00        
12892 0.00        
12893 0.00        
12894 1.00        
12895 1.00        
12896 0.00        
12897 0.00        
12898 0.00        
12899 0.00        
12900 0.00        
12901 0.00        
12902 0.00        
12903 0.00        
12904 0.00        
12905 0.00        
12906 0.00        
12907 0.00        
12908 0.00        
12909 0.00        
12910 0.00        
12911 0.00        
12912 0.00        
12913 0.00        
12914 0.00        
12915 0.00        
12916 1.00        
12917 0.00        
12918 0.00        
12919 0.00        
12920 0.00        
12921 0.00        
12922 0.00        
12923 0.00        
12924 38.00       
12925 99.00       
12926 98.00       
12927 99.00       
12928 99.00       
12929 98.00       
12930 41.00       
12931 43.00       
12932 0.00        
12933 0.00        
12934 0.00        
12935 0.00        
12936 0.00        
12937 2.00        
12938 0.00        
12939 0.00        
12940 0.00        
12941 46.00       
12942 52.00       
12943 45.00       
12944 47.00       
12945 43.00       
12946 52.00       
12947 44.00       
12948 53.00       
12949 42.00       
12950 55.00       
12951 51.00       
12952 48.00       
12953 0.00        
12954 0.00        
12955 0.00        
12956 0.00        
12957 0.00        
12958 0.00        
12959 0.00        
12960 0.00        
12961 0.00        
12962 0.00        
12963 0.00        
12964 0.00        
12965 0.00        
12966 0.00        
12967 0.00        
12968 0.00        
12969 1.00        
12970 0.00        
12971 0.00        
12972 0.00        
12973 0.00        
12974 0.00        
12975 0.00        
12976 0.00        
12977 0.00        
12978 0.00        
12979 0.00        
12980 0.00        
12981 0.00        
12982 0.00        
12983 0.00        
12984 0.00        
12985 0.00        
12986 0.00        
12987 0.00        
12988 0.00        
12989 0.00        
12990 0.00        
12991 0.00        
12992 1.00        
12993 0.00        
12994 0.00        
12995 0.00        
12996 0.00        
12997 0.00        
12998 0.00        
12999 2.00        
13000 1.00        
13001 0.00        
13002 0.00        
13003 0.00        
13004 0.00        
13005 0.00        
13006 0.00        
13007 1.00        
13008 0.00        
13009 0.00        
13010 0.00        
13011 0.00        
13012 0.00        
13013 0.00        
13014 0.00        
13015 0.00        
13016 0.00        
13017 0.00        
13018 0.00        
13019 0.00        
13020 1.00        
13021 0.00        
13022 2.00        
13023 0.00        
13024 2.00        
13025 0.00        
13026 0.00        
13027 0.00        
13028 0.00        
13029 0.00        
13030 0.00        
13031 0.00        
13032 0.00        
13033 0.00        
13034 0.00        
13035 0.00        
13036 0.00        
13037 0.00        
13038 0.00        
13039 0.00        
13040 0.00        
13041 0.00        
13042 0.00        
13043 0.00        
13044 0.00        
13045 0.00        
13046 0.00        
13047 0.00        
13048 0.00        
13049 0.00        
13050 0.00        
13051 0.00        
13052 1.00        
13053 0.00        
13054 0.00        
13055 0.00        
13056 0.00        
13057 1.00        
13058 0.00        
13059 56.00       
13060 99.00       
13061 99.00       
13062 99.00       
13063 98.00       
13064 98.00       
13065 46.00       
13066 0.00        
13067 0.00        
13068 0.00        
13069 0.00        
13070 0.00        
13071 0.00        
13072 50.00       
13073 49.00       
13074 48.00       
13075 53.00       
13076 44.00       
13077 49.00       
13078 52.00       
13079 51.00       
13080 0.00        
13081 0.00        
13082 0.00        
13083 0.00        
13084 0.00        
13085 0.00        
13086 0.00        
13087 0.00        
13088 1.00        
13089 0.00        
13090 0.00        
13091 0.00        
13092 0.00        
13093 0.00        
13094 0.00        
13095 0.00        
13096 0.00        
13097 0.00        
13098 0.00        
13099 0.00        
13100 0.00        
13101 0.00        
13102 0.00        
13103 0.00        
13104 0.00        
13105 0.00        
13106 0.00        
13107 0.00        
13108 1.00        
13109 0.00        
13110 0.00        
13111 1.00        
13112 1.00        
13113 0.00        
13114 0.00        
13115 0.00        
13116 0.00        
13117 0.00        
13118 0.00        
13119 0.00        
13120 0.00        
13121 0.00        
13122 0.00        
13123 0.00        
13124 0.00        
13125 0.00        
13126 0.00        
13127 0.00        
13128 0.00        
13129 0.00        
13130 1.00        
13131 21.00       
13132 0.00        
13133 0.00        
13134 1.00        
13135 0.00        
13136 0.00        
13137 0.00        
13138 0.00        
13139 0.00        
13140 0.00        
13141 0.00        
13142 0.00        
13143 0.00        
13144 0.00        
13145 0.00        
13146 1.00        
13147 0.00        
13148 0.00        
13149 0.00        
13150 0.00        
13151 1.00        
13152 0.00        
13153 0.00        
