File: ./hwmcc13/single/bob12s04.aig
23755 100.00      
23756 100.00      
23757 100.00      
23758 0.00        
23759 0.00        
23760 0.00        
23761 0.00        
23762 0.00        
23763 0.00        
23764 0.00        
23765 0.00        
23766 0.00        
23767 0.00        
23768 0.00        
23769 0.00        
23770 0.00        
23771 0.00        
23772 0.00        
23773 0.00        
23774 50.00       
23775 49.00       
23776 51.00       
23777 50.00       
23778 50.00       
23779 50.00       
23780 50.00       
23781 50.00       
23782 50.00       
23783 49.00       
23784 49.00       
23785 49.00       
23786 49.00       
23787 49.00       
23788 48.00       
23789 50.00       
23790 49.00       
23791 48.00       
23792 51.00       
23793 49.00       
23794 50.00       
23795 49.00       
23796 49.00       
23797 50.00       
23798 51.00       
23799 49.00       
23800 50.00       
23801 49.00       
23802 49.00       
23803 49.00       
23804 50.00       
23805 49.00       
23806 48.00       
23807 49.00       
23808 50.00       
23809 50.00       
23810 50.00       
23811 49.00       
23812 50.00       
23813 49.00       
23814 50.00       
23815 50.00       
23816 49.00       
23817 51.00       
23818 49.00       
23819 50.00       
23820 50.00       
23821 50.00       
23822 49.00       
23823 49.00       
23824 48.00       
23825 50.00       
23826 50.00       
23827 50.00       
23828 50.00       
23829 49.00       
23830 51.00       
23831 48.00       
23832 51.00       
23833 50.00       
23834 48.00       
23835 49.00       
23836 50.00       
23837 48.00       
23838 49.00       
23839 49.00       
23840 51.00       
23841 50.00       
23842 50.00       
23843 49.00       
23844 52.00       
23845 49.00       
23846 49.00       
23847 50.00       
23848 50.00       
23849 49.00       
23850 49.00       
23851 52.00       
23852 48.00       
23853 50.00       
23854 50.00       
23855 49.00       
23856 48.00       
23857 50.00       
23858 48.00       
23859 51.00       
23860 51.00       
23861 48.00       
23862 50.00       
23863 51.00       
23864 49.00       
23865 50.00       
23866 49.00       
23867 49.00       
23868 51.00       
23869 51.00       
23870 50.00       
23871 50.00       
23872 50.00       
23873 48.00       
23874 50.00       
23875 50.00       
23876 51.00       
23877 47.00       
23878 49.00       
23879 49.00       
23880 49.00       
23881 48.00       
23882 49.00       
23883 50.00       
23884 50.00       
23885 50.00       
23886 49.00       
23887 50.00       
23888 50.00       
23889 48.00       
23890 49.00       
23891 50.00       
23892 49.00       
23893 51.00       
23894 49.00       
23895 51.00       
23896 49.00       
23897 49.00       
23898 48.00       
23899 50.00       
23900 49.00       
23901 49.00       
23902 51.00       
23903 50.00       
23904 48.00       
23905 49.00       
23906 49.00       
23907 50.00       
23908 49.00       
23909 49.00       
23910 49.00       
23911 49.00       
23912 50.00       
23913 49.00       
23914 50.00       
23915 50.00       
23916 51.00       
23917 50.00       
23918 51.00       
23919 51.00       
23920 48.00       
23921 51.00       
23922 50.00       
23923 49.00       
23924 49.00       
23925 48.00       
23926 49.00       
23927 52.00       
23928 49.00       
23929 51.00       
23930 50.00       
23931 48.00       
23932 49.00       
23933 50.00       
23934 50.00       
23935 50.00       
23936 49.00       
23937 51.00       
23938 49.00       
23939 50.00       
23940 49.00       
23941 50.00       
23942 50.00       
23943 49.00       
23944 48.00       
23945 49.00       
23946 48.00       
23947 49.00       
23948 51.00       
23949 49.00       
23950 49.00       
23951 50.00       
23952 50.00       
23953 48.00       
23954 51.00       
23955 49.00       
23956 50.00       
23957 49.00       
23958 51.00       
23959 51.00       
23960 47.00       
23961 49.00       
23962 50.00       
23963 50.00       
23964 50.00       
23965 50.00       
23966 50.00       
23967 50.00       
23968 50.00       
23969 49.00       
23970 51.00       
23971 49.00       
23972 50.00       
23973 50.00       
23974 49.00       
23975 49.00       
23976 50.00       
23977 48.00       
23978 50.00       
23979 51.00       
23980 50.00       
23981 48.00       
23982 49.00       
23983 50.00       
23984 50.00       
23985 49.00       
23986 50.00       
23987 49.00       
23988 50.00       
23989 52.00       
23990 50.00       
23991 50.00       
23992 51.00       
23993 49.00       
23994 49.00       
23995 51.00       
23996 50.00       
23997 49.00       
23998 49.00       
23999 49.00       
24000 50.00       
24001 50.00       
24002 50.00       
24003 49.00       
24004 48.00       
24005 51.00       
24006 50.00       
24007 50.00       
24008 50.00       
24009 48.00       
24010 51.00       
24011 50.00       
24012 50.00       
24013 49.00       
24014 51.00       
24015 50.00       
24016 48.00       
24017 48.00       
24018 49.00       
24019 50.00       
24020 50.00       
24021 49.00       
24022 51.00       
24023 50.00       
24024 51.00       
24025 48.00       
24026 48.00       
24027 49.00       
24028 50.00       
24029 49.00       
24030 50.00       
24031 49.00       
24032 50.00       
24033 50.00       
24034 47.00       
24035 49.00       
24036 50.00       
24037 50.00       
24038 48.00       
24039 51.00       
24040 50.00       
24041 49.00       
24042 49.00       
24043 48.00       
24044 50.00       
24045 50.00       
24046 50.00       
24047 48.00       
24048 50.00       
24049 50.00       
24050 49.00       
24051 50.00       
24052 49.00       
24053 48.00       
24054 49.00       
24055 49.00       
24056 49.00       
24057 49.00       
24058 51.00       
24059 50.00       
24060 50.00       
24061 50.00       
24062 50.00       
24063 50.00       
24064 50.00       
24065 49.00       
24066 48.00       
24067 51.00       
24068 49.00       
24069 48.00       
24070 49.00       
24071 51.00       
24072 51.00       
24073 49.00       
24074 48.00       
24075 50.00       
24076 51.00       
24077 49.00       
24078 48.00       
24079 49.00       
24080 49.00       
24081 50.00       
24082 49.00       
24083 50.00       
24084 50.00       
24085 49.00       
24086 50.00       
24087 48.00       
24088 49.00       
24089 50.00       
24090 50.00       
24091 50.00       
24092 49.00       
24093 49.00       
24094 50.00       
24095 50.00       
24096 49.00       
24097 48.00       
24098 48.00       
24099 51.00       
24100 49.00       
24101 48.00       
24102 50.00       
24103 50.00       
24104 50.00       
24105 49.00       
24106 50.00       
24107 51.00       
24108 49.00       
24109 49.00       
24110 50.00       
24111 49.00       
24112 49.00       
24113 48.00       
24114 49.00       
24115 49.00       
24116 50.00       
24117 50.00       
24118 49.00       
24119 49.00       
24120 51.00       
24121 50.00       
24122 50.00       
24123 50.00       
24124 49.00       
24125 48.00       
24126 50.00       
24127 50.00       
24128 49.00       
24129 50.00       
24130 50.00       
24131 49.00       
24132 50.00       
24133 50.00       
24134 49.00       
24135 50.00       
24136 49.00       
24137 50.00       
24138 49.00       
24139 50.00       
24140 50.00       
24141 50.00       
24142 50.00       
24143 49.00       
24144 48.00       
24145 48.00       
24146 50.00       
24147 51.00       
24148 50.00       
24149 49.00       
24150 48.00       
24151 50.00       
24152 49.00       
24153 51.00       
24154 49.00       
24155 50.00       
24156 48.00       
24157 50.00       
24158 48.00       
24159 48.00       
24160 49.00       
24161 49.00       
24162 48.00       
24163 48.00       
24164 49.00       
24165 50.00       
24166 50.00       
24167 49.00       
24168 50.00       
24169 52.00       
24170 49.00       
24171 50.00       
24172 51.00       
24173 50.00       
24174 50.00       
24175 51.00       
24176 51.00       
24177 50.00       
24178 49.00       
24179 50.00       
24180 50.00       
24181 49.00       
24182 48.00       
24183 50.00       
24184 48.00       
24185 50.00       
24186 50.00       
24187 49.00       
24188 51.00       
24189 49.00       
24190 49.00       
24191 50.00       
24192 50.00       
24193 48.00       
24194 50.00       
24195 49.00       
24196 50.00       
24197 49.00       
24198 49.00       
24199 50.00       
24200 49.00       
24201 50.00       
24202 51.00       
24203 49.00       
24204 50.00       
24205 49.00       
24206 51.00       
24207 50.00       
24208 50.00       
24209 50.00       
24210 51.00       
24211 49.00       
24212 48.00       
24213 49.00       
24214 49.00       
24215 50.00       
24216 49.00       
24217 50.00       
24218 50.00       
24219 51.00       
24220 51.00       
24221 49.00       
24222 50.00       
24223 49.00       
24224 49.00       
24225 48.00       
24226 49.00       
24227 51.00       
24228 49.00       
24229 50.00       
24230 50.00       
24231 51.00       
24232 50.00       
24233 51.00       
24234 49.00       
24235 48.00       
24236 50.00       
24237 49.00       
24238 50.00       
24239 49.00       
24240 49.00       
24241 49.00       
24242 49.00       
24243 49.00       
24244 49.00       
24245 50.00       
24246 49.00       
24247 50.00       
24248 48.00       
24249 51.00       
24250 50.00       
24251 49.00       
24252 49.00       
24253 51.00       
24254 49.00       
24255 49.00       
24256 49.00       
24257 49.00       
24258 51.00       
24259 51.00       
24260 50.00       
24261 49.00       
24262 49.00       
24263 50.00       
24264 48.00       
24265 50.00       
24266 50.00       
24267 49.00       
24268 50.00       
24269 49.00       
24270 50.00       
24271 51.00       
24272 50.00       
24273 49.00       
24274 49.00       
24275 50.00       
24276 49.00       
24277 49.00       
24278 49.00       
24279 49.00       
24280 49.00       
24281 51.00       
24282 50.00       
24283 51.00       
24284 49.00       
24285 49.00       
24286 48.00       
24287 50.00       
24288 49.00       
24289 50.00       
24290 49.00       
24291 48.00       
24292 49.00       
24293 49.00       
24294 49.00       
24295 49.00       
24296 49.00       
24297 51.00       
24298 50.00       
24299 51.00       
24300 48.00       
24301 51.00       
24302 49.00       
24303 49.00       
24304 50.00       
24305 51.00       
24306 48.00       
24307 50.00       
24308 50.00       
24309 50.00       
24310 49.00       
24311 50.00       
24312 49.00       
24313 50.00       
24314 50.00       
24315 51.00       
24316 50.00       
24317 49.00       
24318 51.00       
24319 49.00       
24320 51.00       
24321 49.00       
24322 50.00       
24323 50.00       
24324 49.00       
24325 49.00       
24326 49.00       
24327 51.00       
24328 49.00       
24329 49.00       
24330 50.00       
24331 50.00       
24332 49.00       
24333 51.00       
24334 51.00       
24335 49.00       
24336 48.00       
24337 48.00       
24338 50.00       
24339 49.00       
24340 49.00       
24341 50.00       
24342 50.00       
24343 50.00       
24344 48.00       
24345 49.00       
24346 48.00       
24347 51.00       
24348 48.00       
24349 48.00       
24350 51.00       
24351 50.00       
24352 50.00       
24353 50.00       
24354 50.00       
24355 51.00       
24356 49.00       
24357 49.00       
24358 49.00       
24359 49.00       
24360 49.00       
24361 49.00       
24362 50.00       
24363 49.00       
24364 50.00       
24365 50.00       
24366 49.00       
24367 50.00       
24368 48.00       
24369 51.00       
24370 49.00       
24371 49.00       
24372 50.00       
24373 50.00       
24374 49.00       
24375 50.00       
24376 48.00       
24377 48.00       
24378 49.00       
24379 48.00       
24380 50.00       
24381 49.00       
24382 50.00       
24383 50.00       
24384 50.00       
24385 51.00       
24386 50.00       
24387 48.00       
24388 50.00       
24389 49.00       
24390 48.00       
24391 50.00       
24392 49.00       
24393 49.00       
24394 50.00       
24395 50.00       
24396 49.00       
24397 50.00       
24398 51.00       
24399 48.00       
24400 49.00       
24401 50.00       
24402 49.00       
24403 49.00       
24404 50.00       
24405 50.00       
24406 50.00       
24407 49.00       
24408 49.00       
24409 49.00       
24410 48.00       
24411 50.00       
24412 50.00       
24413 49.00       
24414 49.00       
24415 50.00       
24416 50.00       
24417 49.00       
24418 50.00       
24419 50.00       
24420 50.00       
24421 49.00       
24422 51.00       
24423 50.00       
24424 49.00       
24425 50.00       
24426 50.00       
24427 50.00       
24428 49.00       
24429 50.00       
24430 50.00       
24431 50.00       
24432 50.00       
24433 49.00       
24434 48.00       
24435 51.00       
24436 50.00       
24437 50.00       
24438 51.00       
24439 49.00       
24440 49.00       
24441 50.00       
24442 49.00       
24443 49.00       
24444 50.00       
24445 50.00       
24446 50.00       
24447 49.00       
24448 49.00       
24449 48.00       
24450 50.00       
24451 48.00       
24452 49.00       
24453 49.00       
24454 50.00       
24455 49.00       
24456 50.00       
24457 50.00       
24458 50.00       
24459 50.00       
24460 50.00       
24461 48.00       
24462 49.00       
24463 50.00       
24464 49.00       
24465 51.00       
24466 49.00       
24467 49.00       
24468 48.00       
24469 48.00       
24470 49.00       
24471 51.00       
24472 51.00       
24473 48.00       
24474 49.00       
24475 51.00       
24476 51.00       
24477 49.00       
24478 48.00       
24479 50.00       
24480 49.00       
24481 50.00       
24482 50.00       
24483 51.00       
24484 50.00       
24485 49.00       
24486 49.00       
24487 50.00       
24488 50.00       
24489 50.00       
24490 49.00       
24491 49.00       
24492 50.00       
24493 49.00       
24494 49.00       
24495 51.00       
24496 49.00       
24497 49.00       
24498 50.00       
24499 51.00       
24500 50.00       
24501 51.00       
24502 50.00       
24503 49.00       
24504 49.00       
24505 49.00       
24506 50.00       
24507 49.00       
24508 50.00       
24509 49.00       
24510 48.00       
24511 49.00       
24512 50.00       
24513 49.00       
24514 50.00       
24515 48.00       
24516 49.00       
24517 48.00       
24518 49.00       
24519 51.00       
24520 51.00       
24521 50.00       
24522 49.00       
24523 51.00       
24524 49.00       
24525 49.00       
24526 50.00       
24527 49.00       
24528 49.00       
24529 50.00       
24530 47.00       
24531 48.00       
24532 49.00       
24533 49.00       
24534 49.00       
24535 48.00       
24536 49.00       
24537 49.00       
24538 50.00       
24539 50.00       
24540 49.00       
24541 49.00       
24542 49.00       
24543 50.00       
24544 50.00       
24545 49.00       
24546 50.00       
24547 50.00       
24548 51.00       
24549 49.00       
24550 49.00       
24551 49.00       
24552 48.00       
24553 50.00       
24554 49.00       
24555 49.00       
24556 50.00       
24557 50.00       
24558 48.00       
24559 48.00       
24560 48.00       
24561 50.00       
24562 50.00       
24563 49.00       
24564 48.00       
24565 50.00       
24566 49.00       
24567 50.00       
24568 50.00       
24569 50.00       
24570 48.00       
24571 51.00       
24572 50.00       
24573 50.00       
24574 49.00       
24575 50.00       
24576 50.00       
24577 49.00       
24578 49.00       
24579 49.00       
24580 49.00       
24581 49.00       
24582 50.00       
24583 50.00       
24584 50.00       
24585 49.00       
24586 51.00       
24587 50.00       
24588 50.00       
24589 50.00       
24590 50.00       
24591 50.00       
24592 49.00       
24593 49.00       
24594 49.00       
24595 49.00       
24596 49.00       
24597 49.00       
24598 50.00       
24599 49.00       
24600 49.00       
24601 49.00       
24602 50.00       
24603 51.00       
24604 49.00       
24605 48.00       
24606 48.00       
24607 51.00       
24608 50.00       
24609 49.00       
24610 50.00       
24611 48.00       
24612 50.00       
24613 50.00       
24614 50.00       
24615 49.00       
24616 49.00       
24617 49.00       
24618 49.00       
24619 49.00       
24620 49.00       
24621 49.00       
24622 49.00       
24623 49.00       
24624 50.00       
24625 49.00       
24626 49.00       
24627 49.00       
24628 48.00       
24629 50.00       
24630 48.00       
24631 48.00       
24632 50.00       
24633 49.00       
24634 49.00       
24635 51.00       
24636 49.00       
24637 48.00       
24638 51.00       
24639 50.00       
24640 49.00       
24641 49.00       
24642 51.00       
24643 50.00       
24644 49.00       
24645 49.00       
24646 49.00       
24647 51.00       
24648 50.00       
24649 49.00       
24650 49.00       
24651 50.00       
24652 48.00       
24653 49.00       
24654 50.00       
24655 50.00       
24656 50.00       
24657 49.00       
24658 50.00       
24659 50.00       
24660 48.00       
24661 50.00       
24662 51.00       
24663 49.00       
24664 48.00       
24665 50.00       
24666 49.00       
24667 48.00       
24668 50.00       
24669 51.00       
24670 51.00       
24671 50.00       
24672 49.00       
24673 50.00       
24674 50.00       
24675 50.00       
24676 51.00       
24677 49.00       
24678 50.00       
24679 50.00       
24680 50.00       
24681 50.00       
24682 47.00       
24683 51.00       
24684 49.00       
24685 49.00       
24686 50.00       
24687 50.00       
24688 50.00       
24689 50.00       
24690 49.00       
24691 51.00       
24692 48.00       
24693 49.00       
24694 50.00       
24695 49.00       
24696 49.00       
24697 49.00       
24698 50.00       
24699 50.00       
24700 50.00       
24701 50.00       
24702 49.00       
24703 49.00       
24704 50.00       
24705 50.00       
24706 49.00       
24707 49.00       
24708 50.00       
24709 49.00       
24710 50.00       
24711 49.00       
24712 51.00       
24713 50.00       
24714 50.00       
24715 51.00       
24716 47.00       
24717 50.00       
24718 48.00       
24719 49.00       
24720 49.00       
24721 50.00       
24722 47.00       
24723 49.00       
24724 50.00       
24725 50.00       
24726 51.00       
24727 50.00       
24728 50.00       
24729 49.00       
24730 50.00       
24731 51.00       
24732 49.00       
24733 49.00       
24734 48.00       
24735 50.00       
24736 50.00       
24737 49.00       
24738 49.00       
24739 50.00       
24740 48.00       
24741 51.00       
24742 50.00       
24743 49.00       
24744 51.00       
24745 50.00       
24746 48.00       
24747 49.00       
24748 50.00       
24749 50.00       
24750 49.00       
24751 50.00       
24752 50.00       
24753 49.00       
24754 49.00       
24755 50.00       
24756 50.00       
24757 51.00       
24758 48.00       
24759 49.00       
24760 49.00       
24761 50.00       
24762 48.00       
24763 49.00       
24764 50.00       
24765 49.00       
24766 49.00       
24767 49.00       
24768 50.00       
24769 49.00       
24770 51.00       
24771 50.00       
24772 47.00       
24773 51.00       
24774 48.00       
24775 49.00       
24776 49.00       
24777 49.00       
24778 50.00       
24779 50.00       
24780 50.00       
24781 49.00       
24782 50.00       
24783 51.00       
24784 51.00       
24785 50.00       
24786 48.00       
24787 49.00       
24788 50.00       
24789 49.00       
24790 49.00       
24791 49.00       
24792 49.00       
24793 49.00       
24794 49.00       
24795 51.00       
24796 50.00       
24797 50.00       
24798 49.00       
24799 49.00       
24800 48.00       
24801 49.00       
24802 49.00       
24803 49.00       
24804 49.00       
24805 48.00       
24806 49.00       
24807 48.00       
24808 49.00       
24809 48.00       
24810 48.00       
24811 50.00       
24812 49.00       
24813 49.00       
24814 50.00       
24815 49.00       
24816 49.00       
24817 50.00       
24818 48.00       
24819 50.00       
24820 48.00       
24821 49.00       
24822 49.00       
24823 50.00       
24824 51.00       
24825 49.00       
24826 50.00       
24827 51.00       
24828 49.00       
24829 50.00       
24830 50.00       
24831 51.00       
24832 49.00       
24833 50.00       
24834 50.00       
24835 50.00       
24836 50.00       
24837 49.00       
24838 49.00       
24839 49.00       
24840 49.00       
24841 49.00       
24842 50.00       
24843 49.00       
24844 49.00       
24845 48.00       
24846 50.00       
24847 52.00       
24848 50.00       
24849 49.00       
24850 51.00       
24851 51.00       
24852 49.00       
24853 49.00       
24854 49.00       
24855 51.00       
24856 49.00       
24857 50.00       
24858 50.00       
24859 50.00       
24860 51.00       
24861 49.00       
24862 49.00       
24863 50.00       
24864 49.00       
24865 49.00       
24866 48.00       
24867 50.00       
24868 50.00       
24869 49.00       
24870 50.00       
24871 50.00       
24872 51.00       
24873 50.00       
24874 49.00       
24875 49.00       
24876 50.00       
24877 50.00       
24878 50.00       
24879 50.00       
24880 49.00       
24881 50.00       
24882 49.00       
24883 50.00       
24884 51.00       
24885 48.00       
24886 49.00       
24887 49.00       
24888 50.00       
24889 49.00       
24890 50.00       
24891 49.00       
24892 50.00       
24893 51.00       
24894 49.00       
24895 49.00       
24896 50.00       
24897 50.00       
24898 50.00       
24899 50.00       
24900 50.00       
24901 50.00       
24902 47.00       
24903 49.00       
24904 50.00       
24905 50.00       
24906 49.00       
24907 49.00       
24908 51.00       
24909 50.00       
24910 49.00       
24911 50.00       
24912 48.00       
24913 50.00       
24914 48.00       
24915 50.00       
24916 49.00       
24917 49.00       
24918 49.00       
24919 49.00       
24920 50.00       
24921 49.00       
24922 50.00       
24923 49.00       
24924 51.00       
24925 49.00       
24926 49.00       
24927 49.00       
24928 51.00       
24929 49.00       
24930 49.00       
24931 49.00       
24932 50.00       
24933 49.00       
24934 51.00       
24935 48.00       
24936 48.00       
24937 50.00       
24938 49.00       
24939 49.00       
24940 48.00       
24941 49.00       
24942 49.00       
24943 49.00       
24944 50.00       
24945 50.00       
24946 48.00       
24947 48.00       
24948 47.00       
24949 49.00       
24950 50.00       
24951 49.00       
24952 50.00       
24953 49.00       
24954 50.00       
24955 51.00       
24956 49.00       
24957 50.00       
24958 51.00       
24959 49.00       
24960 49.00       
24961 49.00       
24962 49.00       
24963 49.00       
24964 50.00       
24965 49.00       
24966 51.00       
24967 48.00       
24968 50.00       
24969 51.00       
24970 50.00       
24971 49.00       
24972 49.00       
24973 50.00       
24974 49.00       
24975 48.00       
24976 49.00       
24977 49.00       
24978 51.00       
24979 51.00       
24980 50.00       
24981 48.00       
24982 51.00       
24983 50.00       
24984 50.00       
24985 49.00       
24986 49.00       
24987 50.00       
24988 49.00       
24989 49.00       
24990 50.00       
24991 49.00       
24992 48.00       
24993 49.00       
24994 51.00       
24995 49.00       
24996 51.00       
24997 49.00       
24998 50.00       
24999 51.00       
25000 48.00       
25001 50.00       
25002 50.00       
25003 50.00       
25004 50.00       
25005 52.00       
25006 50.00       
25007 50.00       
25008 50.00       
25009 49.00       
25010 50.00       
25011 51.00       
25012 48.00       
25013 50.00       
25014 49.00       
25015 49.00       
25016 48.00       
25017 51.00       
25018 47.00       
25019 49.00       
25020 49.00       
25021 49.00       
25022 50.00       
25023 50.00       
25024 49.00       
25025 49.00       
25026 50.00       
25027 50.00       
25028 50.00       
25029 50.00       
25030 49.00       
25031 50.00       
25032 50.00       
25033 51.00       
25034 48.00       
25035 50.00       
25036 50.00       
25037 50.00       
25038 50.00       
25039 50.00       
25040 49.00       
25041 50.00       
25042 50.00       
25043 50.00       
25044 50.00       
25045 48.00       
25046 49.00       
25047 49.00       
25048 50.00       
25049 49.00       
25050 48.00       
25051 51.00       
25052 49.00       
25053 49.00       
25054 50.00       
25055 51.00       
25056 50.00       
25057 50.00       
25058 50.00       
25059 48.00       
25060 50.00       
25061 51.00       
25062 50.00       
25063 48.00       
25064 49.00       
25065 50.00       
25066 49.00       
25067 50.00       
25068 50.00       
25069 49.00       
25070 50.00       
25071 48.00       
25072 50.00       
25073 48.00       
25074 50.00       
25075 48.00       
25076 49.00       
25077 50.00       
25078 49.00       
25079 49.00       
25080 49.00       
25081 50.00       
25082 50.00       
25083 49.00       
25084 50.00       
25085 49.00       
25086 50.00       
25087 50.00       
25088 50.00       
25089 49.00       
25090 49.00       
25091 50.00       
25092 49.00       
25093 49.00       
25094 48.00       
25095 48.00       
25096 50.00       
25097 50.00       
25098 49.00       
25099 49.00       
25100 48.00       
25101 48.00       
25102 50.00       
25103 50.00       
25104 48.00       
25105 49.00       
25106 50.00       
25107 49.00       
25108 49.00       
25109 50.00       
25110 48.00       
25111 49.00       
25112 49.00       
25113 48.00       
25114 48.00       
25115 48.00       
25116 49.00       
25117 49.00       
25118 49.00       
25119 46.00       
25120 49.00       
25121 49.00       
25122 49.00       
25123 50.00       
25124 51.00       
25125 48.00       
25126 50.00       
25127 50.00       
25128 49.00       
25129 47.00       
25130 49.00       
25131 51.00       
25132 49.00       
25133 50.00       
25134 49.00       
25135 49.00       
25136 50.00       
25137 48.00       
25138 50.00       
25139 49.00       
25140 49.00       
25141 48.00       
25142 49.00       
25143 50.00       
25144 49.00       
25145 50.00       
25146 50.00       
25147 50.00       
25148 50.00       
25149 49.00       
25150 49.00       
25151 50.00       
25152 50.00       
25153 51.00       
25154 49.00       
25155 48.00       
25156 48.00       
25157 50.00       
25158 50.00       
25159 50.00       
25160 49.00       
25161 50.00       
25162 50.00       
25163 49.00       
25164 49.00       
25165 49.00       
25166 48.00       
25167 49.00       
25168 49.00       
25169 50.00       
25170 49.00       
25171 49.00       
25172 49.00       
25173 50.00       
25174 49.00       
25175 50.00       
25176 49.00       
25177 50.00       
25178 49.00       
25179 50.00       
25180 50.00       
25181 50.00       
25182 49.00       
25183 49.00       
25184 48.00       
25185 49.00       
25186 50.00       
25187 49.00       
25188 49.00       
25189 49.00       
25190 50.00       
25191 49.00       
25192 50.00       
25193 50.00       
25194 48.00       
25195 49.00       
25196 51.00       
25197 51.00       
25198 50.00       
25199 52.00       
25200 50.00       
25201 50.00       
25202 49.00       
25203 51.00       
25204 50.00       
25205 49.00       
25206 50.00       
25207 49.00       
25208 50.00       
25209 49.00       
25210 49.00       
25211 49.00       
25212 50.00       
25213 50.00       
25214 50.00       
25215 51.00       
25216 49.00       
25217 50.00       
25218 49.00       
25219 51.00       
25220 49.00       
25221 49.00       
25222 51.00       
25223 49.00       
25224 49.00       
25225 51.00       
25226 49.00       
25227 49.00       
25228 51.00       
25229 49.00       
25230 49.00       
25231 50.00       
25232 49.00       
25233 49.00       
25234 50.00       
25235 48.00       
25236 50.00       
25237 51.00       
25238 50.00       
25239 50.00       
25240 48.00       
25241 49.00       
25242 49.00       
25243 50.00       
25244 49.00       
25245 49.00       
25246 50.00       
25247 48.00       
25248 49.00       
25249 49.00       
25250 49.00       
25251 48.00       
25252 50.00       
25253 50.00       
25254 49.00       
25255 51.00       
25256 51.00       
25257 50.00       
25258 49.00       
25259 50.00       
25260 49.00       
25261 50.00       
25262 50.00       
25263 48.00       
25264 51.00       
25265 48.00       
25266 49.00       
25267 51.00       
25268 50.00       
25269 50.00       
25270 50.00       
25271 50.00       
25272 49.00       
25273 50.00       
25274 51.00       
25275 49.00       
25276 50.00       
25277 49.00       
25278 49.00       
25279 51.00       
25280 48.00       
25281 50.00       
25282 50.00       
25283 50.00       
25284 49.00       
25285 50.00       
25286 50.00       
25287 50.00       
25288 50.00       
25289 48.00       
25290 49.00       
25291 48.00       
25292 50.00       
25293 49.00       
25294 51.00       
25295 50.00       
25296 50.00       
25297 50.00       
25298 49.00       
25299 49.00       
25300 50.00       
25301 49.00       
25302 49.00       
25303 50.00       
25304 49.00       
25305 48.00       
25306 49.00       
25307 50.00       
25308 51.00       
25309 49.00       
25310 52.00       
25311 50.00       
25312 49.00       
25313 50.00       
25314 51.00       
25315 50.00       
25316 51.00       
25317 50.00       
25318 48.00       
25319 51.00       
25320 52.00       
25321 49.00       
25322 51.00       
25323 50.00       
25324 49.00       
25325 49.00       
25326 48.00       
25327 49.00       
25328 50.00       
25329 50.00       
25330 48.00       
25331 51.00       
25332 49.00       
25333 51.00       
25334 47.00       
25335 50.00       
25336 50.00       
25337 49.00       
25338 48.00       
25339 50.00       
25340 50.00       
25341 50.00       
25342 50.00       
25343 48.00       
25344 50.00       
25345 49.00       
25346 51.00       
25347 50.00       
25348 48.00       
25349 50.00       
25350 50.00       
25351 50.00       
25352 49.00       
25353 50.00       
25354 49.00       
25355 51.00       
25356 50.00       
25357 49.00       
25358 51.00       
25359 49.00       
25360 50.00       
