File: ./hwmcc24/2024/sosylab/product-lines/elevator_spec1_product19.cil.aig
48979 49.00       
48980 49.00       
48981 50.00       
48982 50.00       
48983 48.00       
48984 49.00       
48985 49.00       
48986 48.00       
48987 51.00       
48988 51.00       
48989 49.00       
48990 50.00       
48991 51.00       
48992 50.00       
48993 51.00       
48994 49.00       
48995 48.00       
48996 48.00       
48997 48.00       
48998 49.00       
48999 50.00       
49000 49.00       
49001 50.00       
49002 49.00       
49003 48.00       
49004 50.00       
49005 50.00       
49006 50.00       
49007 50.00       
49008 50.00       
49009 49.00       
49010 50.00       
49011 49.00       
49012 52.00       
49013 50.00       
49014 50.00       
49015 49.00       
49016 49.00       
49017 49.00       
49018 48.00       
49019 50.00       
49020 51.00       
49021 50.00       
49022 50.00       
49023 49.00       
49024 50.00       
49025 50.00       
49026 51.00       
49027 50.00       
49028 49.00       
49029 49.00       
49030 49.00       
49031 50.00       
49032 50.00       
49033 49.00       
49034 50.00       
49035 51.00       
49036 50.00       
49037 49.00       
49038 50.00       
49039 50.00       
49040 50.00       
49041 49.00       
49042 50.00       
49043 49.00       
49044 49.00       
49045 51.00       
49046 51.00       
49047 51.00       
49048 49.00       
49049 49.00       
49050 51.00       
49051 49.00       
49052 50.00       
49053 49.00       
49054 50.00       
49055 50.00       
49056 51.00       
49057 49.00       
49058 50.00       
49059 49.00       
49060 50.00       
49061 50.00       
49062 49.00       
49063 50.00       
49064 49.00       
49065 49.00       
49066 49.00       
49067 49.00       
49068 50.00       
49069 52.00       
49070 50.00       
49071 50.00       
49072 49.00       
49073 49.00       
49074 50.00       
49075 50.00       
49076 49.00       
49077 49.00       
49078 49.00       
49079 50.00       
49080 49.00       
49081 51.00       
49082 51.00       
49083 50.00       
49084 49.00       
49085 48.00       
49086 50.00       
49087 50.00       
49088 49.00       
49089 50.00       
49090 50.00       
49091 50.00       
49092 50.00       
49093 48.00       
49094 49.00       
49095 50.00       
49096 49.00       
49097 50.00       
49098 50.00       
49099 52.00       
49100 50.00       
49101 47.00       
49102 49.00       
49103 50.00       
49104 50.00       
49105 50.00       
49106 49.00       
49107 50.00       
49108 49.00       
49109 50.00       
49110 50.00       
49111 51.00       
49112 49.00       
49113 49.00       
49114 50.00       
49115 50.00       
49116 50.00       
49117 48.00       
49118 49.00       
49119 49.00       
49120 50.00       
49121 48.00       
49122 49.00       
49123 50.00       
49124 50.00       
49125 49.00       
49126 50.00       
49127 49.00       
49128 49.00       
49129 50.00       
49130 49.00       
49131 49.00       
49132 50.00       
49133 50.00       
49134 50.00       
49135 50.00       
49136 50.00       
49137 49.00       
49138 49.00       
49139 50.00       
49140 50.00       
49141 51.00       
49142 50.00       
49143 50.00       
49144 49.00       
49145 48.00       
49146 49.00       
49147 51.00       
49148 49.00       
49149 49.00       
49150 50.00       
49151 49.00       
49152 50.00       
49153 50.00       
49154 50.00       
49155 50.00       
49156 48.00       
49157 50.00       
49158 50.00       
49159 50.00       
49160 51.00       
49161 49.00       
49162 49.00       
49163 49.00       
49164 50.00       
49165 49.00       
49166 50.00       
49167 50.00       
49168 49.00       
49169 49.00       
49170 50.00       
49171 50.00       
49172 49.00       
49173 50.00       
49174 49.00       
49175 51.00       
49176 48.00       
49177 50.00       
49178 50.00       
49179 49.00       
49180 49.00       
49181 49.00       
49182 48.00       
49183 50.00       
49184 51.00       
49185 50.00       
49186 49.00       
49187 49.00       
49188 50.00       
49189 51.00       
49190 50.00       
49191 50.00       
49192 51.00       
49193 48.00       
49194 50.00       
49195 49.00       
49196 49.00       
49197 50.00       
49198 48.00       
49199 49.00       
49200 49.00       
49201 51.00       
49202 49.00       
49203 49.00       
49204 49.00       
49205 51.00       
49206 50.00       
49207 49.00       
49208 50.00       
49209 50.00       
49210 48.00       
49211 51.00       
49212 51.00       
49213 50.00       
49214 50.00       
49215 48.00       
49216 50.00       
49217 50.00       
49218 49.00       
49219 48.00       
49220 51.00       
49221 50.00       
49222 50.00       
49223 52.00       
49224 50.00       
49225 49.00       
49226 50.00       
49227 50.00       
49228 49.00       
49229 49.00       
49230 49.00       
49231 49.00       
49232 49.00       
49233 50.00       
49234 50.00       
49235 50.00       
49236 49.00       
49237 49.00       
49238 49.00       
49239 49.00       
49240 49.00       
49241 50.00       
49242 50.00       
49243 50.00       
49244 49.00       
49245 50.00       
49246 50.00       
49247 49.00       
49248 49.00       
49249 50.00       
49250 48.00       
49251 50.00       
49252 50.00       
49253 50.00       
49254 48.00       
49255 49.00       
49256 50.00       
49257 47.00       
49258 50.00       
49259 50.00       
49260 49.00       
49261 48.00       
49262 49.00       
49263 49.00       
49264 49.00       
49265 50.00       
49266 48.00       
49267 50.00       
49268 49.00       
49269 51.00       
49270 49.00       
49271 49.00       
49272 48.00       
49273 50.00       
49274 49.00       
49275 48.00       
49276 49.00       
49277 50.00       
49278 51.00       
49279 49.00       
49280 49.00       
49281 48.00       
49282 50.00       
49283 50.00       
49284 49.00       
49285 49.00       
49286 48.00       
49287 49.00       
49288 50.00       
49289 49.00       
49290 49.00       
49291 49.00       
49292 50.00       
49293 49.00       
49294 51.00       
49295 50.00       
49296 51.00       
49297 49.00       
49298 49.00       
49299 49.00       
49300 50.00       
49301 50.00       
49302 50.00       
49303 50.00       
49304 50.00       
49305 51.00       
49306 49.00       
49307 50.00       
49308 49.00       
49309 50.00       
49310 51.00       
49311 49.00       
49312 50.00       
49313 48.00       
49314 49.00       
49315 49.00       
49316 49.00       
49317 50.00       
49318 49.00       
49319 50.00       
49320 50.00       
49321 50.00       
49322 48.00       
49323 51.00       
49324 49.00       
49325 50.00       
49326 49.00       
49327 49.00       
49328 48.00       
49329 49.00       
49330 50.00       
49331 51.00       
49332 51.00       
49333 50.00       
49334 49.00       
49335 50.00       
49336 49.00       
49337 49.00       
49338 48.00       
49339 50.00       
49340 49.00       
49341 49.00       
49342 49.00       
49343 50.00       
49344 49.00       
49345 50.00       
49346 49.00       
49347 50.00       
49348 49.00       
49349 49.00       
49350 50.00       
49351 50.00       
49352 50.00       
49353 50.00       
49354 49.00       
49355 50.00       
49356 48.00       
49357 51.00       
49358 50.00       
49359 48.00       
49360 50.00       
49361 48.00       
49362 49.00       
49363 49.00       
49364 49.00       
49365 50.00       
49366 50.00       
49367 50.00       
49368 50.00       
49369 50.00       
49370 51.00       
49371 48.00       
49372 49.00       
49373 48.00       
49374 50.00       
49375 49.00       
49376 49.00       
49377 50.00       
49378 50.00       
49379 49.00       
49380 50.00       
49381 51.00       
49382 50.00       
49383 49.00       
49384 49.00       
49385 50.00       
49386 48.00       
49387 50.00       
49388 49.00       
49389 49.00       
49390 50.00       
49391 50.00       
49392 49.00       
49393 51.00       
49394 49.00       
49395 50.00       
49396 50.00       
49397 50.00       
49398 49.00       
49399 50.00       
49400 49.00       
49401 49.00       
49402 48.00       
49403 50.00       
49404 49.00       
49405 51.00       
49406 49.00       
49407 50.00       
49408 48.00       
49409 51.00       
49410 50.00       
49411 50.00       
49412 50.00       
49413 49.00       
49414 50.00       
49415 49.00       
49416 50.00       
49417 49.00       
49418 50.00       
49419 49.00       
49420 49.00       
49421 50.00       
49422 49.00       
49423 50.00       
49424 51.00       
49425 49.00       
49426 49.00       
49427 51.00       
49428 49.00       
49429 49.00       
49430 49.00       
49431 48.00       
49432 49.00       
49433 50.00       
49434 49.00       
49435 49.00       
49436 49.00       
49437 48.00       
49438 49.00       
49439 50.00       
49440 50.00       
49441 50.00       
49442 49.00       
49443 49.00       
49444 50.00       
49445 50.00       
49446 51.00       
49447 50.00       
49448 50.00       
49449 50.00       
49450 48.00       
49451 50.00       
49452 50.00       
49453 50.00       
49454 50.00       
49455 49.00       
49456 51.00       
49457 50.00       
49458 50.00       
49459 49.00       
49460 49.00       
49461 50.00       
49462 50.00       
49463 49.00       
49464 50.00       
49465 49.00       
49466 50.00       
49467 50.00       
49468 49.00       
49469 50.00       
49470 49.00       
49471 50.00       
49472 49.00       
49473 49.00       
49474 51.00       
49475 50.00       
49476 50.00       
49477 49.00       
49478 50.00       
49479 48.00       
49480 50.00       
49481 51.00       
49482 48.00       
49483 49.00       
49484 49.00       
49485 50.00       
49486 49.00       
49487 51.00       
49488 51.00       
49489 49.00       
49490 48.00       
49491 50.00       
49492 49.00       
49493 48.00       
49494 49.00       
49495 49.00       
49496 48.00       
49497 51.00       
49498 49.00       
49499 48.00       
49500 50.00       
49501 51.00       
49502 50.00       
49503 49.00       
49504 49.00       
49505 50.00       
49506 52.00       
49507 50.00       
49508 49.00       
49509 50.00       
49510 49.00       
49511 49.00       
49512 50.00       
49513 48.00       
49514 50.00       
49515 49.00       
49516 48.00       
49517 48.00       
49518 49.00       
49519 49.00       
49520 51.00       
49521 50.00       
49522 50.00       
49523 49.00       
49524 48.00       
49525 51.00       
49526 49.00       
49527 50.00       
49528 49.00       
49529 49.00       
49530 48.00       
49531 50.00       
49532 50.00       
49533 50.00       
49534 49.00       
49535 50.00       
49536 48.00       
49537 48.00       
49538 48.00       
49539 50.00       
49540 50.00       
49541 48.00       
49542 49.00       
49543 51.00       
49544 50.00       
49545 51.00       
49546 50.00       
49547 49.00       
49548 48.00       
49549 48.00       
49550 48.00       
49551 49.00       
49552 49.00       
49553 49.00       
49554 50.00       
49555 51.00       
49556 49.00       
49557 49.00       
49558 50.00       
49559 50.00       
49560 49.00       
49561 48.00       
49562 51.00       
49563 49.00       
49564 49.00       
49565 48.00       
49566 50.00       
49567 48.00       
49568 50.00       
49569 51.00       
49570 50.00       
49571 50.00       
49572 49.00       
49573 50.00       
49574 49.00       
49575 50.00       
49576 50.00       
49577 50.00       
49578 49.00       
49579 49.00       
49580 49.00       
49581 49.00       
49582 50.00       
49583 51.00       
49584 49.00       
49585 50.00       
49586 49.00       
49587 50.00       
49588 50.00       
49589 48.00       
49590 50.00       
49591 48.00       
49592 49.00       
49593 50.00       
49594 48.00       
49595 50.00       
49596 49.00       
49597 49.00       
49598 49.00       
49599 50.00       
49600 49.00       
49601 48.00       
49602 50.00       
49603 48.00       
49604 48.00       
49605 49.00       
49606 50.00       
49607 47.00       
49608 51.00       
49609 49.00       
49610 51.00       
49611 50.00       
49612 49.00       
49613 51.00       
49614 50.00       
49615 51.00       
49616 49.00       
49617 49.00       
49618 50.00       
49619 51.00       
49620 49.00       
49621 49.00       
49622 49.00       
49623 49.00       
49624 48.00       
49625 49.00       
49626 49.00       
49627 50.00       
49628 50.00       
49629 49.00       
49630 50.00       
49631 50.00       
49632 50.00       
49633 51.00       
49634 49.00       
49635 51.00       
49636 49.00       
49637 50.00       
49638 49.00       
49639 49.00       
49640 50.00       
49641 51.00       
49642 49.00       
49643 51.00       
49644 50.00       
49645 48.00       
49646 49.00       
49647 49.00       
49648 50.00       
49649 49.00       
49650 48.00       
49651 51.00       
49652 50.00       
49653 49.00       
49654 50.00       
49655 50.00       
49656 50.00       
49657 48.00       
49658 49.00       
49659 50.00       
49660 49.00       
49661 49.00       
49662 50.00       
49663 50.00       
49664 50.00       
49665 49.00       
49666 49.00       
49667 49.00       
49668 49.00       
49669 50.00       
49670 49.00       
49671 49.00       
49672 49.00       
49673 48.00       
49674 48.00       
49675 50.00       
49676 49.00       
49677 50.00       
49678 50.00       
49679 49.00       
49680 49.00       
49681 50.00       
49682 49.00       
49683 49.00       
49684 48.00       
49685 49.00       
49686 50.00       
49687 49.00       
49688 48.00       
49689 51.00       
49690 49.00       
49691 50.00       
49692 49.00       
49693 51.00       
49694 50.00       
49695 49.00       
49696 49.00       
49697 49.00       
49698 49.00       
49699 49.00       
49700 50.00       
49701 50.00       
49702 49.00       
49703 49.00       
49704 50.00       
49705 50.00       
49706 50.00       
49707 50.00       
49708 50.00       
49709 49.00       
49710 49.00       
49711 50.00       
49712 48.00       
49713 50.00       
49714 50.00       
49715 49.00       
49716 48.00       
49717 49.00       
49718 50.00       
49719 51.00       
49720 49.00       
49721 50.00       
49722 49.00       
49723 49.00       
49724 49.00       
49725 48.00       
49726 50.00       
49727 50.00       
49728 49.00       
49729 51.00       
49730 49.00       
49731 51.00       
49732 49.00       
49733 50.00       
49734 51.00       
49735 50.00       
49736 51.00       
49737 51.00       
49738 50.00       
49739 49.00       
49740 50.00       
49741 48.00       
49742 49.00       
49743 48.00       
49744 50.00       
49745 50.00       
49746 49.00       
49747 49.00       
49748 50.00       
49749 49.00       
49750 49.00       
49751 49.00       
49752 49.00       
49753 50.00       
49754 48.00       
49755 48.00       
49756 50.00       
49757 49.00       
49758 49.00       
49759 50.00       
49760 49.00       
49761 51.00       
49762 50.00       
49763 50.00       
49764 50.00       
49765 50.00       
49766 51.00       
49767 50.00       
49768 48.00       
49769 49.00       
49770 49.00       
49771 50.00       
49772 49.00       
49773 49.00       
49774 48.00       
49775 48.00       
49776 49.00       
49777 49.00       
49778 50.00       
49779 48.00       
49780 50.00       
49781 50.00       
49782 50.00       
49783 50.00       
49784 49.00       
49785 49.00       
49786 50.00       
49787 49.00       
49788 48.00       
49789 51.00       
49790 50.00       
49791 49.00       
49792 50.00       
49793 49.00       
49794 50.00       
49795 49.00       
49796 48.00       
49797 51.00       
49798 51.00       
49799 49.00       
49800 49.00       
49801 49.00       
49802 49.00       
49803 49.00       
49804 49.00       
49805 49.00       
49806 50.00       
49807 50.00       
49808 48.00       
49809 49.00       
49810 49.00       
49811 48.00       
49812 50.00       
49813 49.00       
49814 49.00       
49815 49.00       
49816 50.00       
49817 49.00       
49818 50.00       
49819 49.00       
49820 51.00       
49821 50.00       
49822 50.00       
49823 49.00       
49824 49.00       
49825 50.00       
49826 49.00       
49827 49.00       
49828 50.00       
49829 50.00       
49830 49.00       
49831 49.00       
49832 50.00       
49833 49.00       
49834 51.00       
49835 49.00       
49836 50.00       
49837 50.00       
49838 50.00       
49839 48.00       
49840 49.00       
49841 51.00       
49842 51.00       
49843 48.00       
49844 49.00       
49845 50.00       
49846 50.00       
49847 49.00       
49848 51.00       
49849 49.00       
49850 50.00       
49851 50.00       
49852 49.00       
49853 50.00       
49854 51.00       
49855 49.00       
49856 50.00       
49857 48.00       
49858 49.00       
49859 49.00       
49860 49.00       
49861 49.00       
49862 51.00       
49863 49.00       
49864 49.00       
49865 50.00       
49866 50.00       
49867 49.00       
49868 48.00       
49869 51.00       
49870 51.00       
49871 50.00       
49872 50.00       
49873 48.00       
49874 50.00       
49875 49.00       
49876 49.00       
49877 49.00       
49878 48.00       
49879 51.00       
49880 50.00       
49881 50.00       
49882 50.00       
49883 50.00       
49884 50.00       
49885 49.00       
49886 49.00       
49887 49.00       
49888 48.00       
49889 48.00       
49890 50.00       
49891 49.00       
49892 50.00       
49893 49.00       
49894 50.00       
49895 50.00       
49896 48.00       
49897 50.00       
49898 50.00       
49899 49.00       
49900 49.00       
49901 49.00       
49902 49.00       
49903 49.00       
49904 48.00       
49905 50.00       
49906 50.00       
49907 50.00       
49908 50.00       
49909 49.00       
49910 49.00       
49911 49.00       
49912 50.00       
49913 50.00       
49914 49.00       
49915 49.00       
49916 50.00       
49917 50.00       
49918 49.00       
49919 50.00       
49920 49.00       
49921 48.00       
49922 50.00       
49923 48.00       
49924 51.00       
49925 50.00       
49926 49.00       
49927 49.00       
49928 50.00       
49929 50.00       
49930 49.00       
49931 50.00       
49932 48.00       
49933 50.00       
49934 48.00       
49935 50.00       
49936 52.00       
49937 50.00       
49938 49.00       
49939 49.00       
49940 49.00       
49941 50.00       
49942 49.00       
49943 50.00       
49944 50.00       
49945 50.00       
49946 49.00       
49947 49.00       
49948 49.00       
49949 50.00       
49950 49.00       
49951 49.00       
49952 50.00       
49953 49.00       
49954 51.00       
49955 50.00       
49956 51.00       
49957 50.00       
49958 49.00       
49959 49.00       
49960 49.00       
49961 51.00       
49962 48.00       
49963 50.00       
49964 50.00       
49965 50.00       
49966 50.00       
49967 50.00       
49968 50.00       
49969 51.00       
49970 48.00       
49971 49.00       
49972 50.00       
49973 49.00       
49974 48.00       
49975 49.00       
49976 50.00       
49977 49.00       
49978 49.00       
49979 49.00       
49980 49.00       
49981 51.00       
49982 49.00       
49983 50.00       
49984 50.00       
49985 50.00       
49986 50.00       
49987 49.00       
49988 48.00       
49989 49.00       
49990 50.00       
49991 50.00       
49992 48.00       
49993 48.00       
49994 50.00       
49995 51.00       
49996 50.00       
49997 50.00       
49998 49.00       
49999 50.00       
50000 50.00       
50001 49.00       
50002 49.00       
50003 49.00       
50004 51.00       
50005 50.00       
50006 50.00       
50007 49.00       
50008 48.00       
50009 49.00       
50010 50.00       
50011 49.00       
50012 50.00       
50013 50.00       
50014 49.00       
50015 48.00       
50016 49.00       
50017 49.00       
50018 49.00       
50019 49.00       
50020 49.00       
50021 49.00       
50022 50.00       
50023 49.00       
50024 49.00       
50025 49.00       
50026 50.00       
50027 50.00       
50028 49.00       
50029 49.00       
50030 50.00       
50031 51.00       
50032 51.00       
50033 50.00       
50034 49.00       
50035 49.00       
50036 50.00       
50037 50.00       
50038 51.00       
50039 49.00       
50040 50.00       
50041 51.00       
50042 49.00       
50043 49.00       
50044 51.00       
50045 49.00       
50046 51.00       
50047 48.00       
50048 50.00       
50049 50.00       
50050 50.00       
50051 50.00       
50052 49.00       
50053 49.00       
50054 49.00       
50055 50.00       
50056 48.00       
50057 49.00       
50058 49.00       
50059 48.00       
50060 48.00       
50061 51.00       
50062 49.00       
50063 49.00       
50064 51.00       
50065 49.00       
50066 49.00       
50067 48.00       
50068 48.00       
50069 49.00       
50070 48.00       
50071 50.00       
50072 51.00       
50073 50.00       
50074 50.00       
50075 49.00       
50076 49.00       
50077 49.00       
50078 49.00       
50079 49.00       
50080 49.00       
50081 51.00       
50082 50.00       
50083 49.00       
50084 50.00       
50085 50.00       
50086 51.00       
50087 48.00       
50088 50.00       
50089 50.00       
50090 49.00       
50091 49.00       
50092 49.00       
50093 49.00       
50094 49.00       
50095 49.00       
50096 48.00       
50097 50.00       
50098 50.00       
50099 49.00       
50100 50.00       
50101 49.00       
50102 49.00       
50103 49.00       
50104 49.00       
50105 51.00       
50106 49.00       
50107 50.00       
50108 49.00       
50109 50.00       
50110 49.00       
50111 49.00       
50112 50.00       
50113 49.00       
50114 47.00       
50115 50.00       
50116 48.00       
50117 49.00       
50118 50.00       
50119 50.00       
50120 50.00       
50121 51.00       
50122 50.00       
50123 49.00       
50124 50.00       
50125 50.00       
50126 50.00       
50127 50.00       
50128 50.00       
50129 50.00       
50130 49.00       
50131 50.00       
50132 49.00       
50133 50.00       
50134 50.00       
50135 51.00       
50136 51.00       
50137 48.00       
50138 48.00       
50139 50.00       
50140 51.00       
50141 50.00       
50142 49.00       
50143 50.00       
50144 50.00       
50145 49.00       
50146 49.00       
50147 50.00       
50148 48.00       
50149 47.00       
50150 50.00       
50151 49.00       
50152 50.00       
50153 50.00       
50154 48.00       
50155 48.00       
50156 50.00       
50157 50.00       
50158 50.00       
50159 51.00       
50160 50.00       
50161 48.00       
50162 48.00       
50163 49.00       
50164 50.00       
50165 49.00       
50166 51.00       
50167 50.00       
50168 50.00       
50169 50.00       
50170 51.00       
50171 48.00       
50172 49.00       
50173 49.00       
50174 49.00       
50175 51.00       
50176 49.00       
50177 50.00       
50178 50.00       
50179 50.00       
50180 48.00       
50181 49.00       
50182 50.00       
50183 48.00       
50184 50.00       
50185 48.00       
50186 50.00       
50187 51.00       
50188 52.00       
50189 51.00       
50190 49.00       
50191 50.00       
50192 49.00       
50193 50.00       
50194 49.00       
50195 49.00       
50196 50.00       
50197 50.00       
50198 50.00       
50199 49.00       
50200 48.00       
50201 49.00       
50202 50.00       
50203 50.00       
50204 51.00       
50205 49.00       
50206 48.00       
50207 50.00       
50208 51.00       
50209 48.00       
50210 50.00       
50211 49.00       
50212 49.00       
50213 50.00       
50214 51.00       
50215 51.00       
50216 51.00       
50217 50.00       
50218 50.00       
50219 48.00       
50220 49.00       
50221 50.00       
50222 49.00       
50223 51.00       
50224 50.00       
50225 48.00       
50226 49.00       
50227 51.00       
50228 49.00       
50229 50.00       
50230 49.00       
50231 50.00       
50232 50.00       
50233 51.00       
50234 51.00       
50235 49.00       
50236 50.00       
50237 49.00       
50238 50.00       
50239 49.00       
50240 49.00       
50241 48.00       
50242 49.00       
50243 49.00       
50244 50.00       
50245 49.00       
50246 49.00       
50247 49.00       
50248 50.00       
50249 50.00       
50250 50.00       
50251 49.00       
50252 49.00       
50253 49.00       
50254 49.00       
50255 51.00       
50256 50.00       
50257 49.00       
50258 49.00       
50259 50.00       
50260 49.00       
50261 50.00       
50262 50.00       
50263 48.00       
50264 48.00       
50265 50.00       
50266 49.00       
50267 51.00       
50268 49.00       
50269 50.00       
50270 50.00       
50271 48.00       
50272 51.00       
50273 50.00       
50274 50.00       
50275 49.00       
50276 49.00       
50277 49.00       
50278 49.00       
50279 50.00       
50280 49.00       
50281 49.00       
50282 50.00       
50283 49.00       
50284 50.00       
50285 51.00       
50286 50.00       
50287 51.00       
50288 50.00       
50289 49.00       
50290 50.00       
50291 50.00       
50292 49.00       
50293 50.00       
50294 50.00       
50295 50.00       
50296 49.00       
50297 50.00       
50298 51.00       
50299 50.00       
50300 50.00       
50301 49.00       
50302 50.00       
50303 50.00       
50304 51.00       
50305 50.00       
50306 50.00       
50307 49.00       
50308 50.00       
50309 50.00       
50310 49.00       
50311 49.00       
50312 51.00       
50313 51.00       
50314 49.00       
50315 49.00       
50316 48.00       
50317 49.00       
50318 49.00       
50319 50.00       
50320 49.00       
50321 49.00       
50322 50.00       
50323 49.00       
50324 49.00       
50325 50.00       
50326 48.00       
50327 49.00       
50328 49.00       
50329 50.00       
50330 49.00       
50331 49.00       
50332 49.00       
50333 49.00       
50334 51.00       
50335 49.00       
50336 49.00       
50337 49.00       
50338 48.00       
50339 49.00       
50340 50.00       
50341 49.00       
50342 49.00       
50343 50.00       
50344 49.00       
50345 49.00       
50346 50.00       
50347 50.00       
50348 50.00       
50349 50.00       
50350 49.00       
50351 49.00       
50352 48.00       
50353 50.00       
50354 50.00       
50355 50.00       
50356 50.00       
50357 49.00       
50358 50.00       
50359 49.00       
50360 48.00       
50361 50.00       
50362 50.00       
50363 50.00       
50364 49.00       
50365 48.00       
50366 51.00       
50367 51.00       
50368 49.00       
50369 49.00       
50370 48.00       
50371 50.00       
50372 50.00       
50373 48.00       
50374 51.00       
50375 49.00       
50376 51.00       
50377 48.00       
50378 48.00       
