File: ./hwmcc19/single/aig/beem/lamport_nonatomic.5.prop1-func-interl.aig
494 0.00        
495 0.00        
496 0.00        
497 0.00        
498 0.00        
499 14.00       
500 11.00       
501 32.00       
502 0.00        
503 0.00        
504 0.00        
505 0.00        
506 0.00        
507 0.00        
508 0.00        
509 14.00       
510 10.00       
511 32.00       
512 0.00        
513 0.00        
514 0.00        
515 0.00        
516 0.00        
517 0.00        
518 0.00        
519 13.00       
520 11.00       
521 0.00        
522 0.00        
523 0.00        
524 0.00        
525 0.00        
526 0.00        
527 0.00        
528 0.00        
529 13.00       
530 10.00       
531 32.00       
532 0.00        
533 0.00        
534 0.00        
535 0.00        
536 0.00        
537 0.00        
538 0.00        
539 13.00       
540 11.00       
541 29.00       
542 0.00        
543 0.00        
544 0.00        
545 0.00        
546 0.00        
547 0.00        
548 0.00        
549 14.00       
550 11.00       
551 32.00       
552 0.00        
553 0.00        
554 0.00        
555 0.00        
556 0.00        
557 0.00        
558 0.00        
559 14.00       
560 28.00       
561 0.00        
562 0.00        
563 0.00        
564 0.00        
565 0.00        
566 0.00        
567 0.00        
568 0.00        
569 14.00       
570 33.00       
571 11.00       
572 0.00        
573 0.00        
574 0.00        
575 0.00        
576 0.00        
577 0.00        
578 0.00        
579 0.00        
580 14.00       
581 0.00        
582 11.00       
583 100.00      
584 0.00        
585 0.00        
586 0.00        
587 0.00        
588 0.00        
589 2.00        
590 16.00       
591 32.00       
592 0.00        
593 33.00       
594 0.00        
595 0.00        
596 100.00      
=======================================

[ADAPTIVE] Strategy change: Low Flip First
[ADAPTIVE] Strategy change: Default
[ADAPTIVE] Strategy change: Reverse Topo
[ADAPTIVE] Strategy change: Default
[ADAPTIVE] Strategy change: Low Flip First
[ADAPTIVE] Strategy change: Default
[ADAPTIVE] Strategy change: Topo
[ADAPTIVE] Strategy change: Default
[ADAPTIVE] Strategy change: Topo
[ADAPTIVE] Strategy change: Default
[ADAPTIVE] Strategy change: Topo
[ADAPTIVE] Strategy change: Default
[ADAPTIVE] Strategy change: Topo
[ADAPTIVE] Strategy change: Reverse Topo
[ADAPTIVE] Strategy change: Low Flip First
[ADAPTIVE] Strategy change: Reverse Topo
[ADAPTIVE] Strategy change: Topo
[ADAPTIVE] Strategy change: Default
[ADAPTIVE] Strategy change: Low Flip First
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 850, 302]
231 18 24 32 37 44 43 52 50 64 67 72 71 59 50 42 31 18 11 3 0 327 
SolverStatistic {
    num_solve: 56177,
    avg_decide_var: 0.685769,
    num_simplify_subsume: 0,
    num_simplify_self_subsume: 0,
}
Statistic {
    case: lamport_nonatomic.5.prop1-func-interl.aig,
    time: 5.21s,
    num_mic: 2199,
    avg_mic_cube_len: 12.696680,
    avg_po_cube_len: 104.626744,
    mic_drop: success: 5945, fail: 16450, success rate: 26.55%,
    num_down: 22395,
    num_down_sat: 41034,
    ctp: success: 0, fail: 3227, success rate: 0.00%,
    num_get_bad: 136,
    overall_block_time: 3.909466947s,
    block_get_bad_time: 82.124707ms,
    block_get_predecessor_time: 294.424948ms,
    block_blocked_time: 499.602092ms,
    block_mic_time: 2.685379742s,
    block_push_time: 50.638967ms,
    overall_propagate_time: 1.069540236s,
    xor_gen: success: 0, fail: 0, success rate: NaN%,
    num_auxiliary_var: 0,
    test: success: 0, fail: 0, success rate: NaN%,
}
result: safe
----------------------------------------
STATUS: COMPLETED
Finished at: Thu 17 Apr 2025 05:44:22 PM CST
========================================
